column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_indexed,index_names,foreign_key_table,foreign_key_column
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"in our snefuruplin wp plugin, we must create new db fields in the wp database for every site that the plugin is installed on",,,,,,,,,
please create sql that i can run in supabase to do the following,,,,,,,,,
create new db table,,,,,,,,,
named,,,,,,,,,
(wp prefix)_zen_sitespren,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
wppma_db_only_created_at,timestamp with time zone,,,,,,,,
wppma_db_only_updated_at,timestamp with time zone,,,,,,,,
created_at,timestamp with time zone,FALSE,now(),FALSE,FALSE,FALSE,,,
sitespren_base,text,TRUE,,FALSE,FALSE,FALSE,,,
true_root_domain,text,TRUE,,FALSE,FALSE,FALSE,,,
full_subdomain,text,TRUE,,FALSE,FALSE,FALSE,,,
webproperty_type,text,TRUE,,FALSE,FALSE,FALSE,,,
fk_users_id,uuid,TRUE,,FALSE,FALSE,FALSE,,users,id
updated_at,timestamp with time zone,TRUE,,FALSE,FALSE,FALSE,,,
wpuser1,character varying,TRUE,,FALSE,FALSE,FALSE,,,
wppass1,character varying,TRUE,,FALSE,FALSE,FALSE,,,
wp_plugin_installed1,boolean,TRUE,,FALSE,FALSE,FALSE,,,
wp_plugin_connected2,boolean,TRUE,,FALSE,FALSE,FALSE,,,
fk_domreg_hostaccount,uuid,TRUE,,FALSE,FALSE,FALSE,,host_account,id
is_wp_site,boolean,TRUE,,FALSE,FALSE,FALSE,,,
id,uuid,FALSE,gen_random_uuid (),TRUE,TRUE,FALSE,,,
wp_rest_app_pass,text,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_wp_rest_app_pass,,
driggs_industry,text,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_driggs_industry,,
driggs_city,text,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_driggs_city,,
driggs_brand_name,text,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_driggs_brand_name,,
driggs_site_type_purpose,text,TRUE,,FALSE,FALSE,FALSE,,,
driggs_email_1,text,TRUE,,FALSE,FALSE,FALSE,,,
driggs_address_full,text,TRUE,,FALSE,FALSE,FALSE,,,
driggs_phone_1,text,TRUE,,FALSE,FALSE,FALSE,,,
driggs_special_note_for_ai_tool,text,TRUE,,FALSE,FALSE,FALSE,,,
ns_full,text,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_ns_full,,
ip_address,text,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_ip_address,,
is_starred1,text,TRUE,,FALSE,FALSE,FALSE,,,
icon_name,character varying(50),TRUE,,FALSE,FALSE,FALSE,,ui_icons,icon_name
icon_color,character varying(7),TRUE,'#666666'::character varying,FALSE,FALSE,FALSE,,,
is_bulldozer,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
driggs_phone1_platform_id,integer,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_driggs_phone1_platform_id,call_platforms,platform_id
driggs_cgig_id,integer,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_driggs_cgig_id,citation_gigs,cgig_id
driggs_revenue_goal,integer,TRUE,,FALSE,FALSE,TRUE,idx_sitespren_driggs_revenue_goal,,
driggs_address_species_id,integer,TRUE,,FALSE,FALSE,FALSE,,address_species,aspecies_id
is_competitor,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_external,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_internal,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_ppx,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_ms,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_wayback_rebuild,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_naked_wp_build,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_rnr,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_aff,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_other1,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_other2,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
driggs_citations_done,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
is_flylocal,boolean,TRUE,FALSE,FALSE,FALSE,FALSE,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sitespren_base,text,,,,,,,,
driggs_phone1_platform_id,integer,,,,,,,,
driggs_cgig_id,integer,,,,,,,,
driggs_revenue_goal,integer,,,,,,,,
driggs_address_species_id,integer,,,,,,,,
driggs_city,text,,,,,,,,
driggs_brand_name,text,,,,,,,,
driggs_site_type_purpose,text,,,,,,,,
driggs_email_1,text,,,,,,,,
driggs_address_full,text,,,,,,,,
driggs_phone_1,text,,,,,,,,
driggs_special_note_for_ai_tool,text,,,,,,,,
