global_row_id,sheet_row_id,zip_code,payout,city_name,state_code,user_id,created_at,updated_at,rel_release_id,join.leadsmart_file_releases.release_date,rel_subsheet_id,join.leadsmart_subsheets.subsheet_name,rel_subpart_id,join.leadsmart_subparts.payout_note,invalid_reason
502641,,99779,17.5,,AK,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502472,,99584,17.5,,AK,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502421,,99512,17.5,,AK,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502381,,99332,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502377,,99327,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502368,,99299,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502364,,99255,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502363,,99254,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502325,,99165,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502291,,99127,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502258,,99028,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502246,,99015,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502213,,98929,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502140,,98667,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.936881+00:00,2025-10-19T00:28:24.936881+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502009,,98494,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502007,,98492,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
502004,,98477,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
501998,,98460,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
501997,,98455,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
501996,,98450,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
501989,,98442,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
501986,,98434,17.5,,WA,122be854-0adb-46fc-bb04-12c9e73714ba,2025-10-19T00:28:24.72442+00:00,2025-10-19T00:28:24.72442+00:00,3,10/06/2025,83,tree service,59,duration buyer payouts,Missing city_name
