ZIP Code,Duration Buyers,city,state_id,,Zip Code,CPL Payouts,city,state_id,,,Zip Code,Duraiton no GMB allowed,city,state_id
28314,$82.11,Fayetteville,NC,,85001,$43.50,Saint George,UT,,,95001,$23.38,Woodacre,CA
34746,$51.77,Kissimmee,FL,,85002,$43.50,Saint George,UT,,,95003,$23.38,Aptos,CA
75025,$44.10,Plano,TX,,85003,$43.50,Phoenix,AZ,,,95005,$23.38,Ben Lomond,CA
20170,$34.65,Herndon,VA,,85004,$43.50,Phoenix,AZ,,,95006,$23.38,Boulder Creek,CA
22301,$34.65,Alexandria,VA,,85005,$43.50,Phoenix,AZ,,,95007,$23.38,Brookdale,CA
22304,$34.65,Alexandria,VA,,85006,$43.50,Phoenix,AZ,,,95010,$23.38,Capitola,CA
75002,$34.65,Allen,TX,,85007,$43.50,Phoenix,AZ,,,95017,$23.38,Davenport,CA
75051,$34.65,Grand Prairie,TX,,85008,$43.50,Phoenix,AZ,,,95018,$23.38,Felton,CA
75057,$34.65,Lewisville,TX,,85009,$43.50,Phoenix,AZ,,,95019,$23.38,Freedom,CA
75074,$34.65,Plano,TX,,85010,$43.50,Phoenix,AZ,,,95033,$23.38,Los Gatos,CA
75082,$34.65,Richardson,TX,,85011,$43.50,Phoenix,AZ,,,95041,$23.38,Mount Hermon,CA
76039,$34.65,Euless,TX,,85012,$43.50,Phoenix,AZ,,,95060,$23.38,Santa Cruz,CA
76063,$34.65,Mansfield,TX,,85013,$43.50,Phoenix,AZ,,,95061,$23.38,Santa Cruz,CA
76107,$34.65,Fort Worth,TX,,85014,$43.50,Phoenix,AZ,,,95062,$23.38,Santa Cruz,CA
76135,$34.65,Fort Worth,TX,,85015,$43.50,Phoenix,AZ,,,95063,$23.38,Santa Cruz,CA
76210,$34.65,Denton,TX,,85016,$43.50,Phoenix,AZ,,,95064,$23.38,Santa Cruz,CA
76227,$34.65,Aubrey,TX,,85017,$43.50,Phoenix,AZ,,,95065,$23.38,Santa Cruz,CA
20879,$33.08,Gaithersburg,MD,,85018,$43.50,Phoenix,AZ,,,95066,$23.38,Scotts Valley,CA
20902,$33.08,Silver Spring,MD,,85019,$43.50,Phoenix,AZ,,,95067,$23.38,Scotts Valley,CA
20906,$33.08,Silver Spring,MD,,85020,$43.50,Phoenix,AZ,,,95073,$23.38,Soquel,CA
94061,$33.08,Redwood City,CA,,85021,$43.50,Phoenix,AZ,,,95077,$23.38,Watsonville,CA
94062,$33.08,Redwood City,CA,,85022,$43.50,Phoenix,AZ,,,78015,$20.63,Boerne,TX
94086,$33.08,Sunnyvale,CA,,85023,$43.50,Phoenix,AZ,,,78023,$20.63,Helotes,TX
94306,$33.08,Palo Alto,CA,,85024,$43.50,Phoenix,AZ,,,78066,$20.63,Rio Medina,TX
95008,$33.08,Campbell,CA,,85025,$43.50,Phoenix,AZ,,,78101,$20.63,Adkins,TX
95032,$33.08,Los Gatos,CA,,85026,$43.50,Phoenix,AZ,,,78108,$20.63,Cibolo,TX
95120,$33.08,San Jose,CA,,85027,$43.50,Phoenix,AZ,,,78109,$20.63,Converse,TX
95124,$33.08,San Jose,CA,,85028,$43.50,Phoenix,AZ,,,78124,$20.63,Marion,TX
95128,$33.08,San Jose,CA,,85029,$43.50,Phoenix,AZ,,,78130,$20.63,New Braunfels,TX
95132,$33.08,San Jose,CA,,85030,$43.50,Phoenix,AZ,,,78132,$20.63,New Braunfels,TX
95035,$29.93,Milpitas,CA,,85031,$43.50,Phoenix,AZ,,,78148,$20.63,Universal City,TX
95112,$29.93,San Jose,CA,,85032,$43.50,Phoenix,AZ,,,78152,$20.63,Saint Hedwig,TX
95117,$29.93,San Jose,CA,,85033,$43.50,Phoenix,AZ,,,78154,$20.63,Schertz,TX
95123,$29.93,San Jose,CA,,85034,$43.50,Phoenix,AZ,,,78155,$20.63,Seguin,TX
95125,$29.93,San Jose,CA,,85035,$43.50,Phoenix,AZ,,,78163,$20.63,Bulverde,TX
95131,$29.93,San Jose,CA,,85036,$43.50,Phoenix,AZ,,,78201,$20.63,San Antonio,TX
91304,$28.35,Canoga Park,CA,,85037,$43.50,Phoenix,AZ,,,78202,$20.63,San Antonio,TX
91342,$28.35,Sylmar,CA,,85038,$43.50,Phoenix,AZ,,,78203,$20.63,San Antonio,TX
91355,$28.35,Valencia,CA,,85040,$43.50,Phoenix,AZ,,,78204,$20.63,San Antonio,TX
91356,$28.35,Tarzana,CA,,85041,$43.50,Phoenix,AZ,,,78205,$20.63,San Antonio,TX
95003,$28.35,Aptos,CA,,85042,$43.50,Phoenix,AZ,,,78207,$20.63,San Antonio,TX
95033,$28.35,Los Gatos,CA,,85043,$43.50,Phoenix,AZ,,,78208,$20.63,San Antonio,TX
95060,$28.35,Santa Cruz,CA,,85044,$43.50,Phoenix,AZ,,,78209,$20.63,San Antonio,TX
95073,$28.35,Soquel,CA,,85045,$43.50,Phoenix,AZ,,,78210,$20.63,San Antonio,TX
98004,$28.35,Bellevue,WA,,85046,$43.50,Phoenix,AZ,,,78211,$20.63,San Antonio,TX
98033,$28.35,Kirkland,WA,,85048,$43.50,Phoenix,AZ,,,78212,$20.63,San Antonio,TX
98053,$28.35,Redmond,WA,,85050,$43.50,Phoenix,AZ,,,78213,$20.63,San Antonio,TX
98108,$28.35,Seattle,WA,,85051,$43.50,Phoenix,AZ,,,78214,$20.63,San Antonio,TX
75067,$28.22,Lewisville,TX,,85053,$43.50,Phoenix,AZ,,,78215,$20.63,San Antonio,TX
76123,$28.22,Fort Worth,TX,,85054,$43.50,Phoenix,AZ,,,78216,$20.63,San Antonio,TX
78109,$27.09,Converse,TX,,85060,$43.50,Phoenix,AZ,,,78217,$20.63,San Antonio,TX
78205,$27.09,San Antonio,TX,,85061,$43.50,Phoenix,AZ,,,78218,$20.63,San Antonio,TX
78209,$27.09,San Antonio,TX,,85062,$43.50,Phoenix,AZ,,,78219,$20.63,San Antonio,TX
78222,$27.09,San Antonio,TX,,85063,$43.50,Phoenix,AZ,,,78220,$20.63,San Antonio,TX
78230,$27.09,San Antonio,TX,,85064,$43.50,Phoenix,AZ,,,78221,$20.63,San Antonio,TX
78244,$27.09,San Antonio,TX,,85065,$43.50,Phoenix,AZ,,,78222,$20.63,San Antonio,TX
78253,$27.09,San Antonio,TX,,85066,$43.50,Phoenix,AZ,,,78223,$20.63,San Antonio,TX
78254,$27.09,San Antonio,TX,,85067,$43.50,Phoenix,AZ,,,78224,$20.63,San Antonio,TX
75024,$26.95,Plano,TX,,85068,$43.50,Phoenix,AZ,,,78225,$20.63,San Antonio,TX
75028,$26.95,Flower Mound,TX,,85069,$43.50,Phoenix,AZ,,,78226,$20.63,San Antonio,TX
75052,$26.95,Grand Prairie,TX,,85070,$43.50,Phoenix,AZ,,,78227,$20.63,San Antonio,TX
75063,$26.95,Irving,TX,,85071,$43.50,Phoenix,AZ,,,78228,$20.63,San Antonio,TX
75072,$26.95,Mckinney,TX,,85072,$43.50,Phoenix,AZ,,,78229,$20.63,San Antonio,TX
76011,$26.95,Arlington,TX,,85073,$43.50,Phoenix,AZ,,,78230,$20.63,San Antonio,TX
76092,$26.95,Southlake,TX,,85074,$43.50,Phoenix,AZ,,,78231,$20.63,San Antonio,TX
76179,$26.95,Fort Worth,TX,,85075,$43.50,Phoenix,AZ,,,78232,$20.63,San Antonio,TX
76182,$26.95,North Richland Hills,TX,,85076,$43.50,Phoenix,AZ,,,78233,$20.63,San Antonio,TX
90049,$26.78,Los Angeles,CA,,85078,$43.50,Phoenix,AZ,,,78234,$20.63,Jbsa Ft Sam Houston,TX
90210,$26.78,Beverly Hills,CA,,85079,$43.50,Phoenix,AZ,,,78235,$20.63,San Antonio,TX
90403,$26.78,Santa Monica,CA,,85080,$43.50,Phoenix,AZ,,,78236,$20.63,Jbsa Lackland,TX
90405,$26.78,Santa Monica,CA,,85082,$43.50,Phoenix,AZ,,,78237,$20.63,San Antonio,TX
91001,$26.78,Altadena,CA,,85097,$43.50,New River,AZ,,,78238,$20.63,San Antonio,TX
91006,$26.78,Arcadia,CA,,85098,$43.50,New River,AZ,,,78239,$20.63,San Antonio,TX
91024,$26.78,Sierra Madre,CA,,85127,$43.50,Arizona City,AZ,,,78240,$20.63,San Antonio,TX
91105,$26.78,Pasadena,CA,,85140,$43.50,San Tan Valley,AZ,,,78242,$20.63,San Antonio,TX
91214,$26.78,La Crescenta,CA,,85142,$43.50,Queen Creek,AZ,,,78243,$20.63,San Antonio,TX
91301,$26.78,Agoura Hills,CA,,85143,$43.50,San Tan Valley,AZ,,,78244,$20.63,San Antonio,TX
91344,$26.78,Granada Hills,CA,,85201,$43.50,Mesa,AZ,,,78245,$20.63,San Antonio,TX
91364,$26.78,Woodland Hills,CA,,85202,$43.50,Mesa,AZ,,,78247,$20.63,San Antonio,TX
91436,$26.78,Encino,CA,,85203,$43.50,Mesa,AZ,,,78248,$20.63,San Antonio,TX
91505,$26.78,Burbank,CA,,85204,$43.50,Mesa,AZ,,,78249,$20.63,San Antonio,TX
92614,$26.78,Irvine,CA,,85205,$43.50,Mesa,AZ,,,78250,$20.63,San Antonio,TX
92618,$26.78,Irvine,CA,,85206,$43.50,Mesa,AZ,,,78251,$20.63,San Antonio,TX
92625,$26.78,Corona Del Mar,CA,,85207,$43.50,Mesa,AZ,,,78252,$20.63,San Antonio,TX
92626,$26.78,Costa Mesa,CA,,85208,$43.50,Mesa,AZ,,,78253,$20.63,San Antonio,TX
