Zip Code,CPL Buyer Payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State
85001,$159.50,Saint George,UT,,43119,$103.91,Galloway,OH
85002,$159.50,Saint George,UT,,32003,$99.75,Fleming Island,FL
85003,$159.50,Phoenix,AZ,,32004,$99.75,Ponte Vedra Beach,FL
85004,$159.50,Phoenix,AZ,,32034,$99.75,Fernandina Beach,FL
85005,$159.50,Phoenix,AZ,,32035,$99.75,Fernandina Beach,FL
85006,$159.50,Phoenix,AZ,,32041,$99.75,Yulee,FL
85007,$159.50,Phoenix,AZ,,32043,$99.75,Green Cove Springs,FL
85008,$159.50,Phoenix,AZ,,32068,$99.75,Middleburg,FL
85009,$159.50,Phoenix,AZ,,32073,$99.75,Orange Park,FL
85010,$159.50,Phoenix,AZ,,32082,$99.75,Ponte Vedra Beach,FL
85011,$159.50,Phoenix,AZ,,32092,$99.75,Saint Augustine,FL
85012,$159.50,Phoenix,AZ,,32097,$99.75,Yulee,FL
85013,$159.50,Phoenix,AZ,,32125,$99.75,Daytona Beach,FL
85014,$159.50,Phoenix,AZ,,32137,$99.75,Palm Coast,FL
85015,$159.50,Phoenix,AZ,,32162,$99.75,The Villages,FL
85016,$159.50,Phoenix,AZ,,32164,$99.75,Palm Coast,FL
85017,$159.50,Phoenix,AZ,,32174,$99.75,Ormond Beach,FL
85018,$159.50,Phoenix,AZ,,32234,$99.75,Jacksonville,FL
85019,$159.50,Phoenix,AZ,,32239,$99.75,Jacksonville,FL
85020,$159.50,Phoenix,AZ,,32244,$99.75,Jacksonville,FL
85021,$159.50,Phoenix,AZ,,32246,$99.75,Jacksonville,FL
85022,$159.50,Phoenix,AZ,,32250,$99.75,Jacksonville Beach,FL
85023,$159.50,Phoenix,AZ,,32256,$99.75,Jacksonville,FL
85024,$159.50,Phoenix,AZ,,32257,$99.75,Jacksonville,FL
85025,$159.50,Phoenix,AZ,,32258,$99.75,Jacksonville,FL
85026,$159.50,Phoenix,AZ,,32259,$99.75,Saint Johns,FL
85027,$159.50,Phoenix,AZ,,32712,$99.75,Apopka,FL
85028,$159.50,Phoenix,AZ,,32713,$99.75,Debary,FL
