Zip Code,CPL Payouts,city,state_id
85001,$89.50,Saint George,UT
85002,$89.50,Saint George,UT
85003,$89.50,Phoenix,AZ
85004,$89.50,Phoenix,AZ
85005,$89.50,Phoenix,AZ
85006,$89.50,Phoenix,AZ
85007,$89.50,Phoenix,AZ
85008,$89.50,Phoenix,AZ
85009,$89.50,Phoenix,AZ
85010,$89.50,Phoenix,AZ
85011,$89.50,Phoenix,AZ
85012,$89.50,Phoenix,AZ
85013,$89.50,Phoenix,AZ
85014,$89.50,Phoenix,AZ
85015,$89.50,Phoenix,AZ
85016,$89.50,Phoenix,AZ
85017,$89.50,Phoenix,AZ
85018,$89.50,Phoenix,AZ
85019,$89.50,Phoenix,AZ
85020,$89.50,Phoenix,AZ
85021,$89.50,Phoenix,AZ
85022,$89.50,Phoenix,AZ
85023,$89.50,Phoenix,AZ
85024,$89.50,Phoenix,AZ
85026,$89.50,Phoenix,AZ
85027,$89.50,Phoenix,AZ
85028,$89.50,Phoenix,AZ
85029,$89.50,Phoenix,AZ
85030,$89.50,Phoenix,AZ
85031,$89.50,Phoenix,AZ
85032,$89.50,Phoenix,AZ
85033,$89.50,Phoenix,AZ
85034,$89.50,Phoenix,AZ
85035,$89.50,Phoenix,AZ
85036,$89.50,Phoenix,AZ
85037,$89.50,Phoenix,AZ
85038,$89.50,Phoenix,AZ
85040,$89.50,Phoenix,AZ
85041,$89.50,Phoenix,AZ
85042,$89.50,Phoenix,AZ
85043,$89.50,Phoenix,AZ
85044,$89.50,Phoenix,AZ
85045,$89.50,Phoenix,AZ
85046,$89.50,Phoenix,AZ
85048,$89.50,Phoenix,AZ
85050,$89.50,Phoenix,AZ
85051,$89.50,Phoenix,AZ
85053,$89.50,Phoenix,AZ
85054,$89.50,Phoenix,AZ
85060,$89.50,Phoenix,AZ
85061,$89.50,Phoenix,AZ
85062,$89.50,Phoenix,AZ
85063,$89.50,Phoenix,AZ
85064,$89.50,Phoenix,AZ
85066,$89.50,Phoenix,AZ
85067,$89.50,Phoenix,AZ
85068,$89.50,Phoenix,AZ
85069,$89.50,Phoenix,AZ
85070,$89.50,Phoenix,AZ
85071,$89.50,Phoenix,AZ
85072,$89.50,Phoenix,AZ
85074,$89.50,Phoenix,AZ
85076,$89.50,Phoenix,AZ
85078,$89.50,Phoenix,AZ
85079,$89.50,Phoenix,AZ
85080,$89.50,Phoenix,AZ
85082,$89.50,Phoenix,AZ
85083,$89.50,Phoenix,AZ
85085,$89.50,Phoenix,AZ
85086,$89.50,Phoenix,AZ
85087,$89.50,New River,AZ
85127,$89.50,Arizona City,AZ
85140,$89.50,San Tan Valley,AZ
85142,$89.50,Queen Creek,AZ
85143,$89.50,San Tan Valley,AZ
85190,$89.50,Superior,AZ
85201,$89.50,Mesa,AZ
85202,$89.50,Mesa,AZ
85203,$89.50,Mesa,AZ
85204,$89.50,Mesa,AZ
85205,$89.50,Mesa,AZ
85206,$89.50,Mesa,AZ
85207,$89.50,Mesa,AZ
85208,$89.50,Mesa,AZ
85209,$89.50,Mesa,AZ
85210,$89.50,Mesa,AZ
85211,$89.50,Mesa,AZ
85212,$89.50,Mesa,AZ
85213,$89.50,Mesa,AZ
85214,$89.50,Mesa,AZ
85215,$89.50,Mesa,AZ
85216,$89.50,Mesa,AZ
85224,$89.50,Chandler,AZ
85225,$89.50,Chandler,AZ
85226,$89.50,Chandler,AZ
85233,$89.50,Gilbert,AZ
85234,$89.50,Gilbert,AZ
85236,$89.50,Higley,AZ
85244,$89.50,Higley,AZ
85246,$89.50,Higley,AZ
85248,$89.50,Chandler,AZ
85249,$89.50,Chandler,AZ
85250,$89.50,Scottsdale,AZ
85251,$89.50,Scottsdale,AZ
85252,$89.50,Scottsdale,AZ
85253,$89.50,Paradise Valley,AZ
85254,$89.50,Scottsdale,AZ
85255,$89.50,Scottsdale,AZ
85256,$89.50,Scottsdale,AZ
85257,$89.50,Scottsdale,AZ
85258,$89.50,Scottsdale,AZ
85259,$89.50,Scottsdale,AZ
85260,$89.50,Scottsdale,AZ
85261,$89.50,Scottsdale,AZ
85262,$89.50,Scottsdale,AZ
85263,$89.50,Rio Verde,AZ
85264,$89.50,Fort Mcdowell,AZ
85266,$89.50,Scottsdale,AZ
85267,$89.50,Scottsdale,AZ
85268,$89.50,Fountain Hills,AZ
85269,$89.50,Fountain Hills,AZ
85271,$89.50,Fountain Hills,AZ
85274,$89.50,Fountain Hills,AZ
85275,$89.50,Fountain Hills,AZ
85277,$89.50,Fountain Hills,AZ
85280,$89.50,Fountain Hills,AZ
85281,$89.50,Tempe,AZ
85282,$89.50,Tempe,AZ
85283,$89.50,Tempe,AZ
85284,$89.50,Tempe,AZ
85285,$89.50,Tempe,AZ
85286,$89.50,Chandler,AZ
85287,$89.50,Chandler,AZ
85295,$89.50,Gilbert,AZ
85296,$89.50,Gilbert,AZ
85297,$89.50,Gilbert,AZ
85298,$89.50,Gilbert,AZ
85299,$89.50,Gilbert,AZ
85301,$89.50,Glendale,AZ
85302,$89.50,Glendale,AZ
85303,$89.50,Glendale,AZ
85304,$89.50,Glendale,AZ
85305,$89.50,Glendale,AZ
85306,$89.50,Glendale,AZ
85307,$89.50,Glendale,AZ
85308,$89.50,Glendale,AZ
85309,$89.50,Luke Air Force Base,AZ
85310,$89.50,Glendale,AZ
85311,$89.50,Glendale,AZ
85312,$89.50,Glendale,AZ
85318,$89.50,Glendale,AZ
85323,$89.50,Avondale,AZ
85326,$89.50,Buckeye,AZ
85327,$89.50,Cave Creek,AZ
85329,$89.50,Cashion,AZ
85331,$89.50,Cave Creek,AZ
85335,$89.50,El Mirage,AZ
85338,$89.50,Goodyear,AZ
85339,$89.50,Laveen,AZ
85340,$89.50,Litchfield Park,AZ
85342,$89.50,Morristown,AZ
85343,$89.50,Palo Verde,AZ
85345,$89.50,Peoria,AZ
85351,$89.50,Sun City,AZ
85353,$89.50,Tolleson,AZ
85355,$89.50,Waddell,AZ
85361,$89.50,Wittmann,AZ
85363,$89.50,Youngtown,AZ
