Zip,CPL Payouts,city,state_id
55001,$16.25,Afton,MN
55003,$16.25,Bayport,MN
55010,$16.25,Cannon Falls,MN
55016,$16.25,Cottage Grove,MN
55024,$16.25,Farmington,MN
55025,$16.25,Forest Lake,MN
55031,$16.25,Hampton,MN
55033,$16.25,Hastings,MN
55038,$16.25,Hugo,MN
55042,$16.25,Lake Elmo,MN
55043,$16.25,Lakeland,MN
55044,$16.25,Lakeville,MN
55047,$16.25,Marine On Saint Croix,MN
55055,$16.25,Newport,MN
55065,$16.25,Randolph,MN
55068,$16.25,Rosemount,MN
55071,$16.25,Saint Paul Park,MN
55073,$16.25,Scandia,MN
55075,$16.25,South Saint Paul,MN
55076,$16.25,Inver Grove Heights,MN
55077,$16.25,Inver Grove Heights,MN
55082,$16.25,Stillwater,MN
55083,$16.25,Stillwater,MN
55085,$16.25,Vermillion,MN
55090,$16.25,Willernie,MN
55101,$16.25,Saint Paul,MN
55102,$16.25,Saint Paul,MN
55103,$16.25,Saint Paul,MN
55104,$16.25,Saint Paul,MN
55105,$16.25,Saint Paul,MN
55106,$16.25,Saint Paul,MN
55107,$16.25,Saint Paul,MN
55108,$16.25,Saint Paul,MN
55109,$16.25,Saint Paul,MN
55110,$16.25,Saint Paul,MN
55111,$16.25,Saint Paul,MN
55112,$16.25,Saint Paul,MN
55113,$16.25,Saint Paul,MN
55114,$16.25,Saint Paul,MN
55115,$16.25,Saint Paul,MN
55116,$16.25,Saint Paul,MN
55117,$16.25,Saint Paul,MN
55118,$16.25,Saint Paul,MN
55119,$16.25,Saint Paul,MN
55120,$16.25,Saint Paul,MN
55121,$16.25,Saint Paul,MN
55122,$16.25,Saint Paul,MN
55123,$16.25,Saint Paul,MN
55124,$16.25,Saint Paul,MN
55125,$16.25,Saint Paul,MN
55126,$16.25,Saint Paul,MN
55127,$16.25,Saint Paul,MN
55128,$16.25,Saint Paul,MN
55129,$16.25,Saint Paul,MN
55130,$16.25,Saint Paul,MN
55131,$16.25,Saint Paul,MN
55133,$16.25,Saint Paul,MN
55144,$16.25,Saint Paul,MN
55145,$16.25,Saint Paul,MN
55146,$16.25,Saint Paul,MN
55150,$16.25,Mendota,MN
55155,$16.25,Saint Paul,MN
55164,$16.25,Saint Paul,MN
55170,$16.25,Saint Paul,MN
55305,$16.25,Hopkins,MN
55306,$16.25,Burnsville,MN
55311,$16.25,Maple Grove,MN
55316,$16.25,Champlin,MN
55323,$16.25,Cologne,MN
55327,$16.25,Dayton,MN
55330,$16.25,Elk River,MN
55331,$16.25,Excelsior,MN
55337,$16.25,Burnsville,MN
55340,$16.25,Hamel,MN
55343,$16.25,Hopkins,MN
55344,$16.25,Eden Prairie,MN
55345,$16.25,Minnetonka,MN
55346,$16.25,Eden Prairie,MN
55347,$16.25,Eden Prairie,MN
55352,$16.25,Jordan,MN
55356,$16.25,Long Lake,MN
55357,$16.25,Loretto,MN
55359,$16.25,Maple Plain,MN
55361,$16.25,Mayer,MN
55362,$16.25,Monticello,MN
55364,$16.25,Mound,MN
55369,$16.25,Osseo,MN
55371,$16.25,Princeton,MN
55372,$16.25,Prior Lake,MN
55374,$16.25,Rogers,MN
55375,$16.25,Saint Bonifacius,MN
55378,$16.25,Savage,MN
55379,$16.25,Shakopee,MN
55384,$16.25,Spring Park,MN
55391,$16.25,Wayzata,MN
55401,$16.25,Minneapolis,MN
55402,$16.25,Minneapolis,MN
55403,$16.25,Minneapolis,MN
55404,$16.25,Minneapolis,MN
55405,$16.25,Minneapolis,MN
55406,$16.25,Minneapolis,MN
55407,$16.25,Minneapolis,MN
55408,$16.25,Minneapolis,MN
55409,$16.25,Minneapolis,MN
55410,$16.25,Minneapolis,MN
55411,$16.25,Minneapolis,MN
55412,$16.25,Minneapolis,MN
55413,$16.25,Minneapolis,MN
55414,$16.25,Minneapolis,MN
55415,$16.25,Minneapolis,MN
55416,$16.25,Minneapolis,MN
55417,$16.25,Minneapolis,MN
55418,$16.25,Minneapolis,MN
55419,$16.25,Minneapolis,MN
55420,$16.25,Minneapolis,MN
55422,$16.25,Minneapolis,MN
55423,$16.25,Minneapolis,MN
55424,$16.25,Minneapolis,MN
55425,$16.25,Minneapolis,MN
55426,$16.25,Minneapolis,MN
55427,$16.25,Minneapolis,MN
55428,$16.25,Minneapolis,MN
55429,$16.25,Minneapolis,MN
55430,$16.25,Minneapolis,MN
55431,$16.25,Minneapolis,MN
55435,$16.25,Minneapolis,MN
55436,$16.25,Minneapolis,MN
55437,$16.25,Minneapolis,MN
55438,$16.25,Minneapolis,MN
55439,$16.25,Minneapolis,MN
55440,$16.25,Minneapolis,MN
55441,$16.25,Minneapolis,MN
55442,$16.25,Minneapolis,MN
55443,$16.25,Minneapolis,MN
55444,$16.25,Minneapolis,MN
55445,$16.25,Minneapolis,MN
55446,$16.25,Minneapolis,MN
55447,$16.25,Minneapolis,MN
55450,$16.25,Minneapolis,MN
55454,$16.25,Minneapolis,MN
55455,$16.25,Minneapolis,MN
55458,$16.25,Minneapolis,MN
55459,$16.25,Minneapolis,MN
