ZIP,,,Hyper Target - Target these so buyers expand coverage,,
21912,,,ZIP,City,State
21915,,,80513,Berthoud,CO
21921,,,80515,Drake,CO
19311,,,80521,Fort Collins,CO
19312,,,80523,Fort Collins,CO
19320,,,80524,Fort Collins,CO
19335,,,80525,Fort Collins,CO
19341,,,80526,Fort Collins,CO
19345,,,80528,Fort Collins,CO
19348,,,80535,Laporte,CO
19350,,,80537,Loveland,CO
19355,,,80538,Loveland,CO
19374,,,80547,Timnath,CO
19375,,,80550,Windsor,CO
19380,,,74931,Bunch,OK
19382,,,74960,Stilwell,OK
19383,,,74964,Watts,OK
19390,,,74965,Westville,OK
19008,,,67355,Niotaze,KS
19013,,,74427,Cookson,OK
19014,,,74441,Hulbert,OK
19015,,,74451,Park Hill,OK
19018,,,74452,Peggs,OK
19022,,,74457,Proctor,OK
19029,,,74464,Tahlequah,OK
19032,,,74471,Welling,OK
19033,,,74301,Vinita,OK
19036,,,74332,Big Cabin,OK
19043,,,74333,Bluejacket,OK
19060,,,74349,Ketchum,OK
19061,,,74369,Welch,OK
19063,,,74010,Bristow,OK
19064,,,74028,Depew,OK
19070,,,74030,Drumright,OK
19073,,,74039,Kellyville,OK
19074,,,74041,Kiefer,OK
19076,,,74044,Mannford,OK
19078,,,74066,Sapulpa,OK
19081,,,74131,Tulsa,OK
19086,,,74331,Afton,OK
19094,,,74338,Colcord,OK
19113,,,74342,Eucha,OK
19317,,,74346,Jay,OK
19319,,,74347,Kansas,OK
19342,,,74359,Oaks,OK
19373,,,74364,Rose,OK
19938,,,74368,Twin Oaks,OK
19977,,,67332,Bartlett,KS
19701,,,67336,Chetopa,KS
19702,,,67342,Edna,KS
19703,,,74330,Adair,OK
19706,,,74337,Chouteau,OK
19707,,,74340,Disney,OK
19709,,,74350,Langley,OK
19710,,,74352,Locust Grove,OK
19711,,,74361,Pryor,OK
19713,,,74365,Salina,OK
19716,,,74366,Spavinaw,OK
19717,,,74367,Strang,OK
19720,,,74426,Checotah,OK
19730,,,74428,Council Hill,OK
19731,,,74438,Hitchita,OK
19732,,,67333,Caney,KS
19733,,,67337,Coffeyville,KS
19734,,,67340,Dearing,KS
19736,,,74401,Muskogee,OK
19801,,,74403,Muskogee,OK
19802,,,74422,Boynton,OK
19803,,,74423,Braggs,OK
19804,,,74434,Fort Gibson,OK
19805,,,74436,Haskell,OK
19806,,,74450,Oktaha,OK
19807,,,74463,Taft,OK
19808,,,74469,Warner,OK
19809,,,74470,Webbers Falls,OK
19810,,,74027,Delaware,OK
19153,,,74042,Lenapah,OK
80022,,,74048,Nowata,OK
80024,,,74072,S Coffeyville,OK
80030,,,74083,Wann,OK
80031,,,74833,Castle,OK
80045,,,74859,Okemah,OK
80221,,,74880,Weleetka,OK
80229,,,74047,Mounds,OK
80233,,,74421,Beggs,OK
80234,,,74437,Henryetta,OK
80260,,,74445,Morris,OK
80640,,,74447,Okmulgee,OK
80010,,,74456,Preston,OK
80011,,,74001,Avant,OK
80012,,,74002,Barnsdall,OK
80013,,,74003,Bartlesville,OK
80014,,,74035,Hominy,OK
80015,,,74054,Osage,OK
80016,,,74056,Pawhuska,OK
80017,,,74060,Prue,OK
80110,,,74070,Skiatook,OK
80111,,,74073,Sperry,OK
80112,,,74084,Wynona,OK
80113,,,74126,Tulsa,OK
80120,,,74127,Tulsa,OK
80121,,,74020,Cleveland,OK
80122,,,74038,Jennings,OK
80231,,,74081,Terlton,OK
80246,,,74015,Catoosa,OK
80020,,,74016,Chelsea,OK
80021,,,74017,Claremore,OK
80439,,,74019,Claremore,OK
80123,,,74036,Inola,OK
