ZIP Code,Duration Buyer Payouts,City,State,,Zip Code,Duration buyer 2,City Name,State Abbr,,Pest Control has other nationwide buyers as well,,,Zip Codes,120 Second Payouts
07202,$73.24,Elizabeth,NJ,,74733,$42.63,Colbert,OK,,,,,78006,$35
07901,$73.24,Summit,NJ,,75091,$42.63,Sherman,TX,,,,,78015,$35
07924,$73.24,Bernardsville,NJ,,75097,$42.63,Weston,TX,,,,,78023,$35
11710,$73.24,Bellmore,NY,,75102,$42.63,Barry,TX,,,,,78070,$35
11722,$73.24,Central Islip,NY,,75106,$42.63,Cedar Hill,TX,,,,,78108,$35
11751,$73.24,Islip,NY,,75121,$42.63,,TX,,,,,78109,$35
11768,$73.24,Northport,NY,,75124,$42.63,Eustace,TX,,,,,78130,$35
11782,$73.24,Sayville,NY,,75127,$42.63,Fruitvale,TX,,,,,78132,$35
15005,$73.24,Baden,PA,,75138,$42.63,Duncanville,TX,,,,,78148,$35
15062,$73.24,Monessen,PA,,75140,$42.63,Grand Saline,TX,,,,,78154,$35
15084,$73.24,Tarentum,PA,,75144,$42.63,Kerens,TX,,,,,78163,$35
15301,$73.24,Washington,PA,,75153,$42.63,Powell,TX,,,,,78201,$35
15370,$73.24,Waynesburg,PA,,75157,$42.63,Rosser,TX,,,,,78202,$35
16001,$73.24,Butler,PA,,75163,$42.63,Trinidad,TX,,,,,78203,$35
16038,$73.24,Harrisville,PA,,75164,$42.63,Josephine,TX,,,,,78204,$35
16056,$73.24,Saxonburg,PA,,75403,$42.63,Greenville,TX,,,,,78205,$35
19947,$73.24,Georgetown,DE,,75404,$42.63,Greenville,TX,,,,,78207,$35
19973,$73.24,Seaford,DE,,75410,$42.63,Alba,TX,,,,,78208,$35
20110,$73.24,Manassas,VA,,75413,$42.63,Bailey,TX,,,,,78209,$35
20171,$73.24,Herndon,VA,,75420,$42.63,,TX,,,,,78210,$35
20176,$73.24,Leesburg,VA,,75422,$42.63,Campbell,TX,,,,,78212,$35
20637,$73.24,Hughesville,MD,,75428,$42.63,Commerce,TX,,,,,78213,$35
20747,$73.24,District Heights,MD,,75429,$42.63,Commerce,TX,,,,,78215,$35
20782,$73.24,Hyattsville,MD,,75431,$42.63,Como,TX,,,,,78216,$35
20815,$73.24,Chevy Chase,MD,,75433,$42.63,Cumby,TX,,,,,78217,$35
20817,$73.24,Bethesda,MD,,75440,$42.63,Emory,TX,,,,,78218,$35
20902,$73.24,Silver Spring,MD,,75443,$42.63,,TX,,,,,78219,$35
22182,$73.24,Vienna,VA,,75444,$42.63,,TX,,,,,78221,$35
22193,$73.24,Woodbridge,VA,,75448,$42.63,,TX,,,,,78227,$35
22201,$73.24,Arlington,VA,,75449,$42.63,Ladonia,TX,,,,,78228,$35
23504,$73.24,Norfolk,VA,,75458,$42.63,,TX,,,,,78229,$35
23510,$73.24,Norfolk,VA,,75472,$42.63,Point,TX,,,,,78230,$35
27105,$73.24,Winston-Salem,NC,,75482,$42.63,Sulphur Springs,TX,,,,,78231,$35
27403,$73.24,Greensboro,NC,,75483,$42.63,Sulphur Springs,TX,,,,,78232,$35
28054,$73.24,Gastonia,NC,,75485,$42.63,Westminster,TX,,,,,78233,$35
29708,$73.24,Fort Mill,SC,,75496,$42.63,Wolfe City,TX,,,,,78234,$35
29732,$73.24,Rock Hill,SC,,75497,$42.63,Yantis,TX,,,,,78237,$35
30040,$73.24,Cumming,GA,,75751,$42.63,Athens,TX,,,,,78238,$35
30043,$73.24,Lawrenceville,GA,,75752,$42.63,Athens,TX,,,,,78239,$35
30064,$73.24,Marietta,GA,,75754,$42.63,Edom,TX,,,,,78240,$35
30096,$73.24,Duluth,GA,,75773,$42.63,Mineola,TX,,,,,78242,$35
30117,$73.24,Carrollton,GA,,75778,$42.63,Callender Lake,TX,,,,,78244,$35
30127,$73.24,Powder Springs,GA,,75783,$42.63,Quitman,TX,,,,,78245,$35
30180,$73.24,Villa Rica,GA,,75790,$42.63,Van,TX,,,,,78247,$35
30236,$73.24,Jonesboro,GA,,75848,$42.63,Kirvin,TX,,,,,78248,$35
30253,$73.24,Mcdonough,GA,,75859,$42.63,Streetman,TX,,,,,78249,$35
30303,$73.24,Atlanta,GA,,76041,$42.63,,TX,,,,,78250,$35
30312,$73.24,Atlanta,GA,,76061,$42.63,,TX,,,,,78251,$35
30318,$73.24,Atlanta,GA,,76067,$42.63,Mineral Wells,TX,,,,,78253,$35
30328,$73.24,Atlanta,GA,,76068,$42.63,Mineral Wells,TX,,,,,78254,$35
30338,$73.24,Atlanta,GA,,76241,$42.63,Gainesville,TX,,,,,78255,$35
30340,$73.24,Atlanta,GA,,76246,$42.63,,TX,,,,,78256,$35
30341,$73.24,Atlanta,GA,,76263,$42.63,,TX,,,,,78257,$35
30350,$73.24,Atlanta,GA,,76264,$42.63,Sadler,TX,,,,,78258,$35
30507,$73.24,Gainesville,GA,,76267,$42.63,,TX,,,,,78259,$35
30680,$73.24,Winder,GA,,76268,$42.63,Southmayd,TX,,,,,78260,$35
32097,$73.24,Yulee,FL,,76439,$42.63,,TX,,,,,78261,$35
32206,$73.24,Jacksonville,FL,,76485,$42.63,,TX,,,,,78266,$35
32216,$73.24,Jacksonville,FL,,76490,$42.63,,TX,,,,,30301,$35
32257,$73.24,Jacksonville,FL,,76623,$42.63,,TX,,,,,30302,$35
32805,$73.24,Orlando,FL,,76628,$42.63,,TX,,,,,30303,$35
38109,$73.24,Memphis,TN,,76631,$42.63,Bynum,TX,,,,,30304,$35
44113,$73.24,Cleveland,OH,,76636,$42.63,Covington,TX,,,,,30307,$35
46012,$73.24,Anderson,IN,,76639,$42.63,Dawson,TX,,,,,30308,$35
46202,$73.24,Indianapolis,IN,,76650,$42.63,,TX,,,,,30311,$35
48216,$73.24,Detroit,MI,,76660,$42.63,Malone,TX,,,,,30312,$35
48507,$73.24,Flint,MI,,76666,$42.63,Mertens,TX,,,,,30316,$35
60002,$73.24,Antioch,IL,,76679,$42.63,,TX,,,,,30317,$35
60540,$73.24,Naperville,IL,,76681,$42.63,Richland,TX,,,,,30305,$35
60606,$73.24,Chicago,IL,,76693,$42.63,Wortham,TX,,,,,30306,$35
63017,$73.24,Chesterfield,MO,,77204,$42.63,Houston,TX,,,,,30309,$35
63021,$73.24,Ballwin,MO,,77212,$42.63,Houston,TX,,,,,30310,$35
63129,$73.24,Saint Louis,MO,,77216,$42.63,Houston,TX,,,,,30313,$35
66007,$73.24,Basehor,KS,,77297,$42.63,Houston,TX,,,,,30314,$35
66215,$73.24,Lenexa,KS,,77299,$42.63,Houston,TX,,,,,30315,$35
74120,$73.24,Tulsa,OK,,77301,$42.63,Conroe,TX,,,,,30318,$35
75067,$73.24,Lewisville,TX,,77302,$42.63,Conroe,TX,,,,,30319,$35
77002,$73.24,Houston,TX,,77303,$42.63,Conroe,TX,,,,,30322,$35
78702,$73.24,Austin,TX,,77304,$42.63,Conroe,TX,,,,,30324,$35
78729,$73.24,Austin,TX,,77305,$42.63,Conroe,TX,,,,,30327,$35
78741,$73.24,Austin,TX,,77306,$42.63,Cut and Shoot,TX,,,,,30328,$35
78748,$73.24,Austin,TX,,77315,$42.63,,TX,,,,,30330,$35
78752,$73.24,Austin,TX,,77316,$42.63,Montgomery,TX,,,,,30331,$35
78753,$73.24,Austin,TX,,77318,$42.63,Willis,TX,,,,,30334,$35
78759,$73.24,Austin,TX,,77328,$42.63,North Cleveland,TX,,,,,30336,$35
80012,$73.24,Aurora,CO,,77333,$42.63,,TX,,,,,30320,$35
80204,$73.24,Denver,CO,,77336,$42.63,Houston,TX,,,,,30321,$35
84098,$73.24,Park City,UT,,77337,$42.63,,TX,,,,,30325,$35
84321,$73.24,Logan,UT,,77338,$42.63,Houston,TX,,,,,30326,$35
84737,$73.24,Hurricane,UT,,77347,$42.63,Humble,TX,,,,,30329,$35
89027,$73.24,Mesquite,NV,,77353,$42.63,,TX,,,,,30332,$35
89052,$73.24,Henderson,NV,,77354,$42.63,The Woodlands,TX,,,,,30333,$35
89101,$73.24,Las Vegas,NV,,77355,$42.63,Stagecoach,TX,,,,,30337,$35
89115,$73.24,Las Vegas,NV,,77357,$42.63,Woodbranch,TX,,,,,30339,$35
89117,$73.24,Las Vegas,NV,,77362,$42.63,Tomball,TX,,,,,30341,$35
89119,$73.24,Las Vegas,NV,,77365,$42.63,Houston,TX,,,,,30342,$35
89121,$73.24,Las Vegas,NV,,77372,$42.63,Splendora,TX,,,,,30344,$35
89123,$73.24,Las Vegas,NV,,77373,$42.63,Spring,TX,,,,,30345,$35
89124,$73.24,Las Vegas,NV,,77375,$42.63,Tomball,TX,,,,,30338,$35
89148,$73.24,Las Vegas,NV,,77377,$42.63,Tomball,TX,,,,,30340,$35
89156,$73.24,Las Vegas,NV,,77378,$42.63,Willis,TX,,,,,30343,$35
91913,$73.24,Chula Vista,CA,,77380,$42.63,The Woodlands,TX,,,,,30346,$35
92373,$73.24,Redlands,CA,,77381,$42.63,The Woodlands,TX,,,,,30348,$35
97489,$73.24,Walterville,OR,,77382,$42.63,The Woodlands,TX,,,,,30353,$35
98003,$73.24,Federal Way,WA,,77383,$42.63,Spring,TX,,,,,30354,$35
98092,$73.24,Auburn,WA,,77384,$42.63,The Woodlands,TX,,,,,30357,$35
98403,$73.24,Tacoma,WA,,77385,$42.63,The Woodlands,TX,,,,,30360,$35
