Zip Code,CPL Payouts,city,state_id
01810,$139.00,Andover,MA
01812,$139.00,Andover,MA
01830,$139.00,Haverhill,MA
01831,$139.00,Haverhill,MA
01832,$139.00,Haverhill,MA
01833,$139.00,Georgetown,MA
01834,$139.00,Groveland,MA
01835,$139.00,Haverhill,MA
01840,$139.00,Lawrence,MA
01841,$139.00,Lawrence,MA
01842,$139.00,Lawrence,MA
01843,$139.00,Lawrence,MA
01844,$139.00,Methuen,MA
01845,$139.00,North Andover,MA
01860,$139.00,Merrimac,MA
01885,$139.00,Wakefield,MA
01899,$139.00,Winchester,MA
01901,$139.00,Lynn,MA
01902,$139.00,Lynn,MA
01903,$139.00,Lynn,MA
01904,$139.00,Lynn,MA
01905,$139.00,Lynn,MA
01906,$139.00,Saugus,MA
01907,$139.00,Swampscott,MA
01908,$139.00,Nahant,MA
01910,$139.00,Nahant,MA
01913,$139.00,Amesbury,MA
01915,$139.00,Beverly,MA
01921,$139.00,Boxford,MA
01922,$139.00,Byfield,MA
01923,$139.00,Danvers,MA
01929,$139.00,Essex,MA
01930,$139.00,Gloucester,MA
01931,$139.00,Gloucester,MA
01936,$139.00,Gloucester,MA
01937,$139.00,Hathorne,MA
01938,$139.00,Ipswich,MA
01940,$139.00,Lynnfield,MA
01944,$139.00,Manchester,MA
01945,$139.00,Marblehead,MA
01949,$139.00,Middleton,MA
01950,$139.00,Newburyport,MA
01951,$139.00,Newbury,MA
01952,$139.00,Salisbury,MA
01960,$139.00,Peabody,MA
01961,$139.00,Peabody,MA
01965,$139.00,Prides Crossing,MA
01966,$139.00,Rockport,MA
01969,$139.00,Rowley,MA
01970,$139.00,Salem,MA
01971,$139.00,Salem,MA
01982,$139.00,South Hamilton,MA
01983,$139.00,Topsfield,MA
01984,$139.00,Wenham,MA
01985,$139.00,West Newbury,MA
05501,$139.00,Williston,VT
05544,$139.00,Williston,VT
80104,$135.50,Castle Rock,CO
80108,$135.50,Castle Rock,CO
80109,$135.50,Castle Rock,CO
80116,$135.50,Franktown,CO
80118,$135.50,Larkspur,CO
80124,$135.50,Lone Tree,CO
80125,$135.50,Littleton,CO
80126,$135.50,Littleton,CO
80129,$135.50,Littleton,CO
80130,$135.50,Littleton,CO
80131,$135.50,Louviers,CO
80134,$135.50,Parker,CO
80135,$135.50,Sedalia,CO
80138,$135.50,Parker,CO
80163,$135.50,Parker,CO
48005,$128.50,Armada,MI
48007,$128.50,Avoca,MI
48009,$128.50,Birmingham,MI
48012,$128.50,Birmingham,MI
48015,$128.50,Center Line,MI
48017,$128.50,Clawson,MI
48021,$128.50,Eastpointe,MI
48025,$128.50,Franklin,MI
48026,$128.50,Fraser,MI
48030,$128.50,Hazel Park,MI
48033,$128.50,Southfield,MI
48034,$128.50,Southfield,MI
48035,$128.50,Clinton Township,MI
48036,$128.50,Clinton Township,MI
48037,$128.50,Clinton Township,MI
48038,$128.50,Clinton Township,MI
48042,$128.50,Macomb,MI
48043,$128.50,Mount Clemens,MI
48044,$128.50,Macomb,MI
48045,$128.50,Harrison Township,MI
48046,$128.50,Harrison Township,MI
48047,$128.50,New Baltimore,MI
48048,$128.50,New Haven,MI
48050,$128.50,New Haven,MI
48051,$128.50,New Baltimore,MI
48062,$128.50,Richmond,MI
48065,$128.50,Romeo,MI
48066,$128.50,Roseville,MI
48067,$128.50,Royal Oak,MI
48068,$128.50,Royal Oak,MI
48069,$128.50,Pleasant Ridge,MI
48070,$128.50,Huntington Woods,MI
48071,$128.50,Madison Heights,MI
48072,$128.50,Berkley,MI
48073,$128.50,Royal Oak,MI
48075,$128.50,Southfield,MI
48076,$128.50,Southfield,MI
48080,$128.50,Saint Clair Shores,MI
48081,$128.50,Saint Clair Shores,MI
48082,$128.50,Saint Clair Shores,MI
48083,$128.50,Troy,MI
48084,$128.50,Troy,MI
48085,$128.50,Troy,MI
48086,$128.50,Troy,MI
48088,$128.50,Warren,MI
48089,$128.50,Warren,MI
48090,$128.50,Warren,MI
48091,$128.50,Warren,MI
48092,$128.50,Warren,MI
48093,$128.50,Warren,MI
48094,$128.50,Washington,MI
48095,$128.50,Washington,MI
48096,$128.50,Ray,MI
48098,$128.50,Troy,MI
48099,$128.50,Troy,MI
48165,$128.50,New Hudson,MI
48178,$128.50,South Lyon,MI
48220,$128.50,Ferndale,MI
48237,$128.50,Oak Park,MI
48301,$128.50,Bloomfield Hills,MI
48302,$128.50,Bloomfield Hills,MI
48303,$128.50,Bloomfield Hills,MI
48304,$128.50,Bloomfield Hills,MI
