ZIP Code,Duration Buyer Payouts,City,State
78622,$22.13,Fentress,TX
78643,$22.11,Llano,TX
78766,$22.11,Austin,TX
78121,$21.85,La Vernia,TX
78132,$21.44,New Braunfels,TX
78114,$21.41,Floresville,TX
78746,$19.45,Austin,TX
32128,$19.06,Port Orange,FL
32766,$19.06,Oviedo,FL
01852,$18.33,Lowell,MA
02140,$18.33,Cambridge,MA
34203,$18.33,Bradenton,FL
34207,$18.33,Bradenton,FL
34293,$18.33,Venice,FL
48187,$18.33,Canton,MI
48198,$18.33,Ypsilanti,MI
48336,$18.33,Farmington,MI
78163,$18.33,Bulverde,TX
78259,$18.33,San Antonio,TX
01721,$17.85,Ashland,MA
01906,$17.85,Saugus,MA
02038,$17.85,Franklin,MA
06840,$17.85,New Canaan,CT
06901,$17.85,Stamford,CT
07821,$17.85,Andover,NJ
11742,$17.85,Holtsville,NY
11779,$17.85,Ronkonkoma,NY
20601,$17.85,Waldorf,MD
20607,$17.85,Accokeek,MD
20689,$17.85,Sunderland,MD
21113,$17.85,Odenton,MD
21401,$17.85,Annapolis,MD
21666,$17.85,Stevensville,MD
27006,$17.85,Advance,NC
27012,$17.85,Clemmons,NC
27105,$17.85,Winston-Salem,NC
27262,$17.85,High Point,NC
27263,$17.85,High Point,NC
27265,$17.85,High Point,NC
27284,$17.85,Kernersville,NC
27358,$17.85,Summerfield,NC
27370,$17.85,Trinity,NC
27410,$17.85,Greensboro,NC
27455,$17.85,Greensboro,NC
30019,$17.85,Dacula,GA
30044,$17.85,Lawrenceville,GA
30068,$17.85,Marietta,GA
30075,$17.85,Roswell,GA
30082,$17.85,Smyrna,GA
30096,$17.85,Duluth,GA
30101,$17.85,Acworth,GA
30188,$17.85,Woodstock,GA
30305,$17.85,Atlanta,GA
30327,$17.85,Atlanta,GA
30548,$17.85,Hoschton,GA
31906,$17.85,Columbus,GA
32244,$17.85,Jacksonville,FL
32246,$17.85,Jacksonville,FL
32277,$17.85,Jacksonville,FL
32763,$17.85,Orange City,FL
32773,$17.85,Sanford,FL
33065,$17.85,Pompano Beach,FL
33076,$17.85,Pompano Beach,FL
33334,$17.85,Fort Lauderdale,FL
34465,$17.85,Beverly Hills,FL
37013,$17.85,Antioch,TN
37046,$17.85,College Grove,TN
37115,$17.85,Madison,TN
37122,$17.85,Mount Juliet,TN
37129,$17.85,Murfreesboro,TN
37138,$17.85,Old Hickory,TN
37209,$17.85,Nashville,TN
37217,$17.85,Nashville,TN
48073,$17.85,Royal Oak,MI
48331,$17.85,Farmington,MI
75002,$17.85,Allen,TX
77035,$17.85,Houston,TX
77479,$17.85,Sugar Land,TX
77489,$17.85,Missouri City,TX
92504,$17.85,Riverside,CA
92567,$17.85,Nuevo,CA
92587,$17.85,Quail Valley,CA
33433,$17.61,Boca Raton,FL
33436,$17.61,Boynton Beach,FL
33484,$17.61,Delray Beach,FL
33614,$17.61,Tampa,FL
00210,$17.50,,NH
00211,$17.50,,NH
00212,$17.50,,NH
00213,$17.50,,NH
00214,$17.50,,NH
00215,$17.50,,NH
00401,$17.50,,NY
00501,$17.50,Holtsville,NY
00544,$17.50,Holtsville,NY
01001,$17.50,Agawam,MA
01002,$17.50,Amherst,MA
01003,$17.50,Amherst,MA
01004,$17.50,Amherst,MA
01005,$17.50,Barre,MA
01007,$17.50,Belchertown,MA
01008,$17.50,Blandford,MA
01009,$17.50,Bondsville,MA
01010,$17.50,Brimfield,MA
01011,$17.50,Chester,MA
01012,$17.50,Chesterfield,MA
01013,$17.50,Chicopee,MA
01014,$17.50,Chicopee,MA
01020,$17.50,Chicopee,MA
01021,$17.50,Chicopee,MA
01022,$17.50,Chicopee,MA
01026,$17.50,Cummington,MA
01027,$17.50,Easthampton,MA
01028,$17.50,East Longmeadow,MA
01029,$17.50,East Otis,MA
01030,$17.50,Feeding Hills,MA
01031,$17.50,Gilbertville,MA
01032,$17.50,Goshen,MA
01033,$17.50,Granby,MA
01034,$17.50,Granville,MA
01035,$17.50,Hadley,MA
01036,$17.50,Hampden,MA
01037,$17.50,Hardwick,MA
01038,$17.50,Hatfield,MA
01039,$17.50,Haydenville,MA
01040,$17.50,Holyoke,MA
01041,$17.50,Holyoke,MA
01050,$17.50,Huntington,MA
01053,$17.50,Leeds,MA
01054,$17.50,Leverett,MA
01056,$17.50,Ludlow,MA
01057,$17.50,Monson,MA
01059,$17.50,North Amherst,MA
01060,$17.50,Northampton,MA
01061,$17.50,Northampton,MA
01062,$17.50,Florence,MA
01063,$17.50,Northampton,MA
01066,$17.50,North Hatfield,MA
01068,$17.50,Oakham,MA
01069,$17.50,Palmer,MA
01070,$17.50,Plainfield,MA
01071,$17.50,Russell,MA
01072,$17.50,Shutesbury,MA
01073,$17.50,Southampton,MA
01074,$17.50,South Barre,MA
01075,$17.50,South Hadley,MA
01077,$17.50,Southwick,MA
01079,$17.50,Thorndike,MA
01080,$17.50,Three Rivers,MA
01081,$17.50,Wales,MA
01082,$17.50,Ware,MA
01083,$17.50,Warren,MA
01084,$17.50,West Chesterfield,MA
01085,$17.50,Westfield,MA
01086,$17.50,Westfield,MA
01088,$17.50,West Hatfield,MA
01089,$17.50,West Springfield,MA
01090,$17.50,West Springfield,MA
01092,$17.50,West Warren,MA
01093,$17.50,Whately,MA
01094,$17.50,Wheelwright,MA
01095,$17.50,Wilbraham,MA
01096,$17.50,Williamsburg,MA
01097,$17.50,Woronoco,MA
01098,$17.50,Worthington,MA
01101,$17.50,Springfield,MA
01102,$17.50,Springfield,MA
01103,$17.50,Springfield,MA
01104,$17.50,Springfield,MA
01105,$17.50,Springfield,MA
01106,$17.50,Longmeadow,MA
01107,$17.50,Springfield,MA
01108,$17.50,Springfield,MA
01109,$17.50,Springfield,MA
01111,$17.50,Springfield,MA
01114,$17.50,,MA
01115,$17.50,Springfield,MA
01116,$17.50,Longmeadow,MA
01118,$17.50,Springfield,MA
01119,$17.50,Springfield,MA
01128,$17.50,Springfield,MA
01129,$17.50,Springfield,MA
01133,$17.50,,MA
01138,$17.50,Springfield,MA
01139,$17.50,Springfield,MA
01144,$17.50,Springfield,MA
01151,$17.50,Indian Orchard,MA
01152,$17.50,Springfield,MA
01195,$17.50,,MA
01199,$17.50,Springfield,MA
01201,$17.50,Pittsfield,MA
01202,$17.50,Pittsfield,MA
01203,$17.50,Pittsfield,MA
01220,$17.50,Adams,MA
01222,$17.50,Ashley Falls,MA
01223,$17.50,Becket,MA
01224,$17.50,Berkshire,MA
01225,$17.50,Cheshire,MA
01226,$17.50,Dalton,MA
01227,$17.50,Dalton,MA
01229,$17.50,Glendale,MA
01230,$17.50,Great Barrington,MA
01235,$17.50,Hinsdale,MA
01236,$17.50,Housatonic,MA
01237,$17.50,Lanesborough,MA
01238,$17.50,Lee,MA
01240,$17.50,Lenox,MA
01242,$17.50,Lenox Dale,MA
01243,$17.50,Middlefield,MA
01244,$17.50,Mill River,MA
01245,$17.50,Monterey,MA
01247,$17.50,North Adams,MA
01252,$17.50,North Egremont,MA
01253,$17.50,Otis,MA
01254,$17.50,Richmond,MA
01255,$17.50,Sandisfield,MA
01256,$17.50,Savoy,MA
01257,$17.50,Sheffield,MA
01258,$17.50,South Egremont,MA
01259,$17.50,Southfield,MA
01260,$17.50,South Lee,MA
01262,$17.50,Stockbridge,MA
01263,$17.50,Stockbridge,MA
01264,$17.50,Tyringham,MA
01266,$17.50,West Stockbridge,MA
01267,$17.50,Williamstown,MA
