Zip Code,CPL Buyer Payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State,,,"For the $40/150 offer, anything over $40 is the zipcode to target"
90620,$167.50,Buena Park,CA,,53072,$99.75,Pewaukee,KY,,,
90621,$167.50,Buena Park,CA,,53073,$99.75,Plymouth,KY,,,
90622,$167.50,Buena Park,CA,,53080,$99.75,Saukville,KY,,,
90623,$167.50,La Palma,CA,,53090,$99.75,West Bend,KY,,,
90624,$167.50,La Palma,CA,,53094,$99.75,Watertown,KY,,,
90630,$167.50,Cypress,CA,,53098,$99.75,Watertown,KY,,,
90631,$167.50,La Habra,CA,,53105,$99.75,Burlington,KY,,,
90632,$167.50,La Habra,CA,,53110,$99.75,Cudahy,KY,,,
90633,$167.50,La Habra,CA,,53128,$99.75,Genoa City,KY,,,
90680,$167.50,Stanton,CA,,53132,$99.75,Franklin,KY,,,
90720,$167.50,Los Alamitos,CA,,53140,$99.75,Kenosha,KY,,,
90721,$167.50,Los Alamitos,CA,,53142,$99.75,Kenosha,KY,,,
90740,$167.50,Seal Beach,CA,,53143,$99.75,Kenosha,KY,,,
90742,$167.50,Sunset Beach,CA,,53186,$99.75,Waukesha,KY,,,
90743,$167.50,Surfside,CA,,53190,$99.75,Whitewater,KY,,,
92605,$167.50,Irvine,CA,,53206,$99.75,Milwaukee,KY,,,
92615,$167.50,Irvine,CA,,53208,$99.75,Milwaukee,KY,,,
92626,$167.50,Costa Mesa,CA,,53209,$99.75,Milwaukee,KY,,,
92646,$167.50,Huntington Beach,CA,,53213,$99.75,Milwaukee,KY,,,
92647,$167.50,Huntington Beach,CA,,53218,$99.75,Milwaukee,KY,,,
92648,$167.50,Huntington Beach,CA,,53219,$99.75,Milwaukee,KY,,,
92649,$167.50,Huntington Beach,CA,,53223,$99.75,Milwaukee,KY,,,
92655,$167.50,Midway City,CA,,53402,$99.75,Racine,KY,,,
92683,$167.50,Westminster,CA,,53403,$99.75,Racine,KY,,,
92684,$167.50,Westminster,CA,,53404,$99.75,Racine,KY,,,
92685,$167.50,Westminster,CA,,53406,$99.75,Racine,KY,,,
92701,$167.50,Santa Ana,CA,,53511,$99.75,Beloit,KY,,,
92702,$167.50,Santa Ana,CA,,53516,$99.75,Blanchardville,KY,,,
92703,$167.50,Santa Ana,CA,,53534,$99.75,Edgerton,KY,,,
92704,$167.50,Santa Ana,CA,,53546,$99.75,Janesville,KY,,,
92705,$167.50,Santa Ana,CA,,53558,$99.75,Mc Farland,KY,,,
92706,$167.50,Santa Ana,CA,,53559,$99.75,Marshall,KY,,,
92708,$167.50,Fountain Valley,CA,,53563,$99.75,Milton,KY,,,
92711,$167.50,Fountain Valley,CA,,53566,$99.75,Monroe,KY,,,
92728,$167.50,Fountain Valley,CA,,53572,$99.75,Mount Horeb,KY,,,
92735,$167.50,Fountain Valley,CA,,53575,$99.75,Oregon,KY,,,
92780,$167.50,Tustin,CA,,53597,$99.75,Waunakee,KY,,,
92781,$167.50,Tustin,CA,,53703,$99.75,Madison,KY,,,
92799,$167.50,Tustin,CA,,53704,$99.75,Madison,KY,,,
92801,$167.50,Anaheim,CA,,53705,$99.75,Madison,KY,,,
92802,$167.50,Anaheim,CA,,53719,$99.75,Madison,KY,,,
92803,$167.50,Anaheim,CA,,53955,$99.75,Poynette,KY,,,
92804,$167.50,Anaheim,CA,,54110,$99.75,Brillion,KY,,,
92805,$167.50,Anaheim,CA,,54130,$99.75,Kaukauna,KY,,,
92806,$167.50,Anaheim,CA,,54220,$99.75,Manitowoc,OH,,,
92807,$167.50,Anaheim,CA,,54901,$99.75,Oshkosh,OH,,,
92808,$167.50,Anaheim,CA,,54911,$99.75,Appleton,OH,,,
92809,$167.50,Anaheim,CA,,54913,$99.75,Appleton,OH,,,
92811,$167.50,Anaheim,CA,,54914,$99.75,Appleton,OH,,,
92812,$167.50,Anaheim,CA,,54915,$99.75,Appleton,OH,,,
92814,$167.50,Anaheim,CA,,54935,$99.75,Fond Du Lac,OH,,,
92815,$167.50,Anaheim,CA,,54937,$99.75,Fond Du Lac,OH,,,
92816,$167.50,Anaheim,CA,,54952,$99.75,Menasha,OH,,,
92817,$167.50,Anaheim,CA,,06001,$91.44,Avon,OK,,,
92821,$167.50,Brea,CA,,06002,$91.44,Bloomfield,OK,,,
92822,$167.50,Brea,CA,,06010,$91.44,Bristol,OK,,,
92823,$167.50,Brea,CA,,06013,$91.44,Burlington,OK,,,
92825,$167.50,Brea,CA,,06019,$91.44,Canton,OK,,,
92831,$167.50,Fullerton,CA,,06023,$91.44,East Berlin,OK,,,
92832,$167.50,Fullerton,CA,,06029,$91.44,Ellington,TX,,,
92833,$167.50,Fullerton,CA,,06032,$91.44,Farmington,TX,,,
92834,$167.50,Fullerton,CA,,06033,$91.44,Glastonbury,TX,,,
92835,$167.50,Fullerton,CA,,06040,$91.44,Manchester,TX,,,
92836,$167.50,Fullerton,CA,,06051,$91.44,New Britain,TX,,,
92837,$167.50,Fullerton,CA,,06053,$91.44,New Britain,TX,,,
92838,$167.50,Fullerton,CA,,06066,$91.44,Vernon Rockville,TX,,,
92840,$167.50,Garden Grove,CA,,06067,$91.44,Rocky Hill,TX,,,
92841,$167.50,Garden Grove,CA,,06069,$91.44,Sharon,TX,,,
92842,$167.50,Garden Grove,CA,,06070,$91.44,Simsbury,TX,,,
92843,$167.50,Garden Grove,CA,,06082,$91.44,Enfield,TX,,,
92844,$167.50,Garden Grove,CA,,06084,$91.44,Tolland,TX,,,
92845,$167.50,Garden Grove,CA,,06085,$91.44,Unionville,TX,,,
92846,$167.50,Garden Grove,CA,,06095,$91.44,Windsor,TX,,,
92856,$167.50,Garden Grove,CA,,06096,$91.44,Windsor Locks,TX,,,
92857,$167.50,Garden Grove,CA,,06098,$91.44,Winsted,TX,,,
92859,$167.50,Garden Grove,CA,,06103,$91.44,Hartford,TX,,,
92861,$167.50,Villa Park,CA,,06105,$91.44,Hartford,TX,,,
92863,$167.50,Villa Park,CA,,06107,$91.44,West Hartford,TX,,,
92864,$167.50,Villa Park,CA,,06108,$91.44,East Hartford,TX,,,
92865,$167.50,Orange,CA,,06111,$91.44,Newington,TX,,,
92866,$167.50,Orange,CA,,06118,$91.44,East Hartford,TX,,,
92867,$167.50,Orange,CA,,06119,$91.44,West Hartford,TX,,,
92868,$167.50,Orange,CA,,06120,$91.44,Hartford,TX,,,
92869,$167.50,Orange,CA,,06226,$91.44,Willimantic,CA,,,
92870,$167.50,Placentia,CA,,06233,$91.44,Ballouville,CA,,,
92871,$167.50,Placentia,CA,,06237,$91.44,Columbia,CA,,,
92885,$167.50,Corona,CA,,06239,$91.44,Danielson,CA,,,
92886,$167.50,Yorba Linda,CA,,06268,$91.44,Storrs Mansfield,CA,,,
92887,$167.50,Yorba Linda,CA,,06277,$91.44,Thompson,CA,,,
92899,$167.50,Yorba Linda,CA,,06320,$91.44,New London,CA,,,
98012,$161.00,Bothell,WA,,06330,$91.44,Baltic,CA,,,
98020,$161.00,Edmonds,WA,,06335,$91.44,Gales Ferry,CA,,,
98021,$161.00,Bothell,WA,,06340,$91.44,Groton,CA,,,
98026,$161.00,Edmonds,WA,,06357,$91.44,Niantic,CA,,,
98036,$161.00,Lynnwood,WA,,06360,$91.44,Norwich,CA,,,
98037,$161.00,Lynnwood,WA,,06371,$91.44,Old Lyme,CA,,,
98043,$161.00,Mountlake Terrace,WA,,06374,$91.44,Plainfield,CA,,,
98046,$161.00,North Bend,WA,,06382,$91.44,Uncasville,CA,,,
98087,$161.00,Lynnwood,WA,,06405,$91.44,Branford,CA,,,
98201,$161.00,Everett,WA,,06412,$91.44,Chester,CA,,,
98203,$161.00,Everett,WA,,06413,$91.44,Clinton,CA,,,
98204,$161.00,Everett,WA,,06415,$91.44,Colchester,CA,,,
98206,$161.00,Everett,WA,,06416,$91.44,Cromwell,CA,,,
98207,$161.00,Everett,WA,,06417,$91.44,Deep River,CA,,,
98208,$161.00,Everett,WA,,06419,$91.44,Killingworth,CA,,,
98213,$161.00,Everett,WA,,06426,$91.44,Essex,CA,,,
98223,$161.00,Arlington,WA,,06437,$91.44,Guilford,CA,,,
98241,$161.00,Darrington,WA,,06438,$91.44,Haddam,CA,,,
98251,$161.00,Gold Bar,WA,,06457,$91.44,Middletown,MA,,,
98252,$161.00,Granite Falls,WA,,06460,$91.44,Milford,MA,,,
98256,$161.00,Index,WA,,06469,$91.44,Moodus,MA,,,
98258,$161.00,Lake Stevens,WA,,06475,$91.44,Old Saybrook,CT,,,
98259,$161.00,Lake Stevens,WA,,06484,$91.44,Shelton,CT,,,
98270,$161.00,Marysville,WA,,06488,$91.44,Southbury,CT,,,
98271,$161.00,Marysville,WA,,06511,$91.44,New Haven,PA,,,
98272,$161.00,Monroe,WA,,06513,$91.44,New Haven,PA,,,
98275,$161.00,Mukilteo,WA,,06515,$91.44,New Haven,PA,,,
98287,$161.00,Shaw Island,WA,,06516,$91.44,West Haven,PA,,,
98290,$161.00,Snohomish,WA,,06517,$91.44,Hamden,PA,,,
98291,$161.00,Snohomish,WA,,06518,$91.44,Hamden,PA,,,
98292,$161.00,Stanwood,WA,,06604,$91.44,Bridgeport,PA,,,
98293,$161.00,Stanwood,WA,,06608,$91.44,Bridgeport,PA,,,
98294,$161.00,Sultan,WA,,06610,$91.44,Bridgeport,PA,,,
