Zip Code,Duration Payouts,City Name,State Abbr,,,ZIP Code,Duration Payout,City,State
12401,$25.99,Ulster,NY,,,07001,$12.25,Avenel,NJ
12402,$25.99,Kingston,NY,,,07002,$12.25,Bayonne,NJ
12404,$25.99,Marbletown,NY,,,07003,$12.25,Bloomfield,NJ
12409,$25.99,Hurley,NY,,,07004,$12.25,Fairfield,NJ
12411,$25.99,Rosendale,NY,,,07005,$12.25,Boonton,NJ
12412,$25.99,Olive,NY,,,07006,$12.25,Caldwell,NJ
12419,$25.99,Rosendale,NY,,,07007,$12.25,Caldwell,NJ
12433,$25.99,Hurley,NY,,,07008,$12.25,Carteret,NJ
12440,$25.99,Marbletown,NY,,,07009,$12.25,Cedar Grove,NJ
12443,$25.99,Hurley,NY,,,07010,$12.25,Cliffside Park,NJ
12457,$25.99,Shandaken,NY,,,07011,$12.25,Clifton,NJ
12461,$25.99,Olive,NY,,,07012,$12.25,Clifton,NJ
12464,$25.99,Shandaken,NY,,,07013,$12.25,Clifton,NJ
12471,$25.99,Esopus,NY,,,07014,$12.25,Clifton,NJ
12472,$25.99,Rosendale,NY,,,07015,$12.25,Clifton,NJ
12481,$25.99,Olive,NY,,,07016,$12.25,Cranford,NJ
12484,$25.99,Marbletown,NY,,,07017,$12.25,East Orange,NJ
12486,$25.99,Rosendale,NY,,,07018,$12.25,East Orange,NJ
12491,$25.99,Hurley,NY,,,07019,$12.25,East Orange,NJ
12494,$25.99,Olive,NY,,,07020,$12.25,Edgewater,NJ
12498,$25.99,Zena,NY,,,07021,$12.25,Essex Fells,NJ
78002,$23.38,Macdona,TX,,,07022,$12.25,Fairview,NJ
78003,$23.38,Lake Medina Shores,TX,,,07023,$12.25,Fanwood,NJ
78005,$23.38,Bigfoot,TX,,,07024,$12.25,Fort Lee,NJ
78009,$23.38,Castroville,TX,,,07026,$12.25,Garfield,NJ
78011,$23.38,Charlotte,TX,,,07027,$12.25,Garwood,NJ
78012,$23.38,Christine,TX,,,07028,$12.25,Glen Ridge,NJ
78015,$23.38,Fair Oaks Ranch,TX,,,07029,$12.25,Harrison,NJ
78016,$23.38,Devine,TX,,,07030,$12.25,Hoboken,NJ
78017,$23.38,Dilley,TX,,,07031,$12.25,North Arlington,NJ
78023,$23.38,San Antonio,TX,,,07032,$12.25,Kearny,NJ
78026,$23.38,Jourdanton,TX,,,07033,$12.25,Kenilworth,NJ
78039,$23.38,LaCoste,TX,,,07034,$12.25,Lake Hiawatha,NJ
78050,$23.38,Leming,TX,,,07035,$12.25,Lincoln Park,NJ
78052,$23.38,Lytle,TX,,,07036,$12.25,Linden,NJ
78054,$23.38,Macdona,TX,,,07039,$12.25,Livingston,NJ
78056,$23.38,Lakehills,TX,,,07040,$12.25,Maplewood,NJ
78057,$23.38,Moore,TX,,,07041,$12.25,Millburn,NJ
78059,$23.38,Natalia,TX,,,07042,$12.25,Montclair,NJ
78061,$23.38,Pearsall,TX,,,07043,$12.25,Montclair,NJ
78063,$23.38,Lakehills,TX,,,07044,$12.25,Verona,NJ
78064,$23.38,Pleasanton,TX,,,07045,$12.25,Montville,NJ
78065,$23.38,Poteet,TX,,,07046,$12.25,Mountain Lakes,NJ
78066,$23.38,,TX,,,07047,$12.25,North Bergen,NJ
78069,$23.38,Somerset,TX,,,07050,$12.25,Orange,NJ
78073,$23.38,San Antonio,TX,,,07051,$12.25,Orange,NJ
78101,$23.38,St. Hedwig,TX,,,07052,$12.25,West Orange,NJ
78109,$23.38,Converse,TX,,,07054,$12.25,Parsippany,NJ
78112,$23.38,San Antonio,TX,,,07055,$12.25,Passaic,NJ
78201,$23.38,San Antonio,TX,,,07057,$12.25,Wallington,NJ
78202,$23.38,San Antonio,TX,,,07058,$12.25,Pine Brook,NJ
78203,$23.38,San Antonio,TX,,,07059,$12.25,Warren,NJ
78204,$23.38,San Antonio,TX,,,07060,$12.25,Plainfield,NJ
78205,$23.38,San Antonio,TX,,,07061,$12.25,Plainfield,NJ
78206,$23.38,San Antonio,TX,,,07062,$12.25,Plainfield,NJ
78207,$23.38,San Antonio,TX,,,07063,$12.25,Plainfield,NJ
78208,$23.38,San Antonio,TX,,,07064,$12.25,Port Reading,NJ
78209,$23.38,San Antonio,TX,,,07065,$12.25,Rahway,NJ
78210,$23.38,San Antonio,TX,,,07066,$12.25,Clark,NJ
78211,$23.38,San Antonio,TX,,,07067,$12.25,Colonia,NJ
