Zip Code,CPL payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State
80010,$52.50,Aurora,CO,,80215,$59.54,Denver,CO
80012,$52.50,Aurora,CO,,94002,$58.10,Belmont,CA
80013,$52.50,Aurora,CO,,94005,$58.10,Brisbane,CA
80014,$52.50,Aurora,CO,,94010,$58.10,Burlingame,CA
80015,$52.50,Aurora,CO,,94011,$58.10,Burlingame,CA
80016,$52.50,Aurora,CO,,94014,$58.10,Daly City,CA
80017,$52.50,Aurora,CO,,94015,$58.10,Daly City,CA
80018,$52.50,Aurora,CO,,94016,$58.10,Daly City,CA
80041,$52.50,Wheat Ridge,CO,,94017,$58.10,Daly City,CA
80044,$52.50,Wheat Ridge,CO,,94018,$58.10,El Granada,CA
80046,$52.50,Aurora,CO,,94019,$58.10,Half Moon Bay,CA
80047,$52.50,Aurora,CO,,94020,$58.10,La Honda,CA
80103,$52.50,Byers,CO,,94021,$58.10,Loma Mar,CA
80105,$52.50,Deer Trail,CO,,94025,$58.10,Menlo Park,CA
80110,$52.50,Englewood,CO,,94026,$58.10,Menlo Park,CA
80111,$52.50,Englewood,CO,,94027,$58.10,Atherton,CA
80112,$52.50,Englewood,CO,,94028,$58.10,Portola Valley,CA
80113,$52.50,Englewood,CO,,94030,$58.10,Millbrae,CA
80120,$52.50,Littleton,CO,,94037,$58.10,Montara,CA
80121,$52.50,Littleton,CO,,94038,$58.10,Moss Beach,CA
80122,$52.50,Littleton,CO,,94044,$58.10,Pacifica,CA
80150,$52.50,Parker,CO,,94060,$58.10,Pescadero,CA
80151,$52.50,Parker,CO,,94061,$58.10,Redwood City,CA
80155,$52.50,Parker,CO,,94062,$58.10,Redwood City,CA
80160,$52.50,Parker,CO,,94063,$58.10,Redwood City,CA
80161,$52.50,Parker,CO,,94064,$58.10,Redwood City,CA
80165,$52.50,Parker,CO,,94065,$58.10,Redwood City,CA
80166,$52.50,Parker,CO,,94066,$58.10,San Bruno,CA
80201,$51.50,Parker,CO,,94070,$58.10,San Carlos,CA
80202,$51.50,Denver,CO,,94074,$58.10,San Gregorio,CA
80203,$51.50,Denver,CO,,94080,$58.10,South San Francisco,CA
80204,$51.50,Denver,CO,,94083,$58.10,South San Francisco,CA
80205,$51.50,Denver,CO,,94128,$58.10,San Francisco,CA
80206,$51.50,Denver,CO,,94401,$58.10,San Mateo,CA
80207,$51.50,Denver,CO,,94402,$58.10,San Mateo,CA
80208,$51.50,Denver,CO,,94403,$58.10,San Mateo,CA
80209,$51.50,Denver,CO,,94404,$58.10,San Mateo,CA
80210,$51.50,Denver,CO,,94497,$58.10,San Mateo,CA
80211,$51.50,Denver,CO,,99001,$56.00,Airway Heights,WA
80212,$51.50,Denver,CO,,99003,$56.00,Chattaroy,WA
80216,$51.50,Denver,CO,,99004,$56.00,Cheney,WA
80217,$51.50,Denver,CO,,99005,$56.00,Colbert,WA
80218,$51.50,Denver,CO,,99011,$56.00,Fairchild Air Force Base,WA
80219,$51.50,Denver,CO,,99012,$56.00,Fairfield,WA
80220,$51.50,Denver,CO,,99014,$56.00,Four Lakes,WA
80222,$51.50,Denver,CO,,99016,$56.00,Greenacres,WA
80223,$51.50,Denver,CO,,99018,$56.00,Latah,WA
80224,$51.50,Denver,CO,,99019,$56.00,Liberty Lake,WA
80227,$51.50,Denver,CO,,99020,$56.00,Marshall,WA
80230,$51.50,Denver,CO,,99021,$56.00,Mead,WA
80231,$51.50,Denver,CO,,99022,$56.00,Medical Lake,WA
80235,$51.50,Denver,CO,,99023,$56.00,Mica,WA
80236,$51.50,Denver,CO,,99025,$56.00,Newman Lake,WA
80237,$51.50,Denver,CO,,99026,$56.00,Nine Mile Falls,WA
80238,$51.50,Denver,CO,,99027,$56.00,Otis Orchards,WA
80239,$51.50,Denver,CO,,99030,$56.00,Rockford,WA
80243,$51.50,Thornton,CO,,99031,$56.00,Spangle,WA
80244,$51.50,Thornton,CO,,99036,$56.00,Valleyford,WA
80246,$51.50,Denver,CO,,99037,$56.00,Veradale,WA
80247,$51.50,Denver,CO,,99039,$56.00,Waverly,WA
80248,$51.50,Denver,CO,,99201,$56.00,Spokane,WA
80249,$51.50,Denver,CO,,99202,$56.00,Spokane,WA
80250,$51.50,Denver,CO,,99203,$56.00,Spokane,WA
80251,$51.50,Denver,CO,,99204,$56.00,Spokane,WA
80252,$51.50,Denver,CO,,99205,$56.00,Spokane,WA
80256,$51.50,Denver,CO,,99206,$56.00,Spokane,WA
80257,$51.50,Denver,CO,,99207,$56.00,Spokane,WA
80259,$51.50,Denver,CO,,99208,$56.00,Spokane,WA
80261,$51.50,Denver,CO,,99209,$56.00,Spokane,WA
80262,$51.50,Denver,CO,,99210,$56.00,Spokane,WA
80263,$51.50,Denver,CO,,99211,$56.00,Spokane,WA
80264,$51.50,Denver,CO,,99212,$56.00,Spokane,WA
80265,$51.50,Denver,CO,,99213,$56.00,Spokane,WA
80266,$51.50,Denver,CO,,99214,$56.00,Spokane,WA
80271,$51.50,Denver,CO,,99215,$56.00,Spokane,WA
80273,$51.50,Denver,CO,,99216,$56.00,Spokane,WA
80274,$51.50,Denver,CO,,99217,$56.00,Spokane,WA
80281,$51.50,Denver,CO,,99218,$56.00,Spokane,WA
80290,$51.50,Denver,CO,,99219,$56.00,Spokane,WA
80291,$51.50,Denver,CO,,99220,$56.00,Spokane,WA
80293,$51.50,Denver,CO,,99223,$56.00,Spokane,WA
80294,$51.50,Denver,CO,,99224,$56.00,Spokane,WA
80299,$51.50,Denver,CO,,99228,$56.00,Spokane,WA
80026,$47.00,Lafayette,CO,,99251,$56.00,Spokane,WA
80027,$47.00,Louisville,CO,,99252,$56.00,Spokane,WA
80104,$47.00,Castle Rock,CO,,99256,$56.00,Spokane,WA
80108,$47.00,Castle Rock,CO,,99258,$56.00,Spokane,WA
80109,$47.00,Castle Rock,CO,,99260,$56.00,Spokane,WA
80116,$47.00,Franktown,CO,,84095,$55.13,South Jordan,UT
80118,$47.00,Larkspur,CO,,84101,$55.13,Salt Lake City,UT
80124,$47.00,Lone Tree,CO,,84113,$55.13,Salt Lake City,UT
80125,$47.00,Littleton,CO,,08002,$53.55,Cherry Hill,NJ
