Zip Code,CPL Payouts,city,state_id,,ZIP Code,Duration Payouts,City,State
80201,$88.50,Parker,CO,,91941,$122.50,La Mesa,CA
80202,$88.50,Denver,CO,,92009,$122.50,Carlsbad,CA
80203,$88.50,Denver,CO,,92020,$122.50,El Cajon,CA
80204,$88.50,Denver,CO,,92037,$122.50,La Jolla,CA
80205,$88.50,Denver,CO,,92064,$122.50,Poway,CA
80206,$88.50,Denver,CO,,92071,$122.50,Santee,CA
80207,$88.50,Denver,CO,,92117,$122.50,San Diego,CA
80208,$88.50,Denver,CO,,92127,$122.50,San Diego,CA
80209,$88.50,Denver,CO,,92128,$122.50,San Diego,CA
80210,$88.50,Denver,CO,,92129,$122.50,San Diego,CA
80211,$88.50,Denver,CO,,92130,$122.50,San Diego,CA
80212,$88.50,Denver,CO,,89002,$113.40,Henderson,NV
80216,$88.50,Denver,CO,,89005,$113.40,Boulder City,NV
80217,$88.50,Denver,CO,,89006,$113.40,Boulder City,NV
80218,$88.50,Denver,CO,,89009,$113.40,Henderson,NV
80219,$88.50,Denver,CO,,89011,$113.40,Henderson,NV
80220,$88.50,Denver,CO,,89014,$113.40,Henderson,NV
80222,$88.50,Denver,CO,,89015,$113.40,Henderson,NV
80223,$88.50,Denver,CO,,89019,$113.40,Jean,NV
80224,$88.50,Denver,CO,,89030,$113.40,North Las Vegas,NV
80227,$88.50,Denver,CO,,89031,$113.40,North Las Vegas,NV
80230,$88.50,Denver,CO,,89036,$113.40,North Las Vegas,NV
80231,$88.50,Denver,CO,,89048,$113.40,Pahrump,NV
80235,$88.50,Denver,CO,,89060,$113.40,Pahrump,NV
80236,$88.50,Denver,CO,,89074,$113.40,Henderson,NV
80237,$88.50,Denver,CO,,89086,$113.40,North Las Vegas,NV
80238,$88.50,Denver,CO,,89101,$113.40,Las Vegas,NV
80239,$88.50,Denver,CO,,89108,$113.40,Las Vegas,NV
80243,$88.50,Thornton,CO,,89110,$113.40,Las Vegas,NV
80244,$88.50,Thornton,CO,,89115,$113.40,Las Vegas,NV
80246,$88.50,Denver,CO,,89119,$113.40,Las Vegas,NV
80247,$88.50,Denver,CO,,89120,$113.40,Las Vegas,NV
80248,$88.50,Denver,CO,,89123,$113.40,Las Vegas,NV
80249,$88.50,Denver,CO,,89128,$113.40,Las Vegas,NV
80250,$88.50,Denver,CO,,89129,$113.40,Las Vegas,NV
80251,$88.50,Denver,CO,,89131,$113.40,Las Vegas,NV
80252,$88.50,Denver,CO,,89141,$113.40,Las Vegas,NV
80256,$88.50,Denver,CO,,89142,$113.40,Las Vegas,NV
80257,$88.50,Denver,CO,,89156,$113.40,Las Vegas,NV
80259,$88.50,Denver,CO,,89166,$113.40,Las Vegas,NV
80261,$88.50,Denver,CO,,89178,$113.40,Las Vegas,NV
80262,$88.50,Denver,CO,,89032,$107.10,North Las Vegas,NV
80263,$88.50,Denver,CO,,89104,$107.10,Las Vegas,NV
80264,$88.50,Denver,CO,,89146,$107.10,Las Vegas,NV
80265,$88.50,Denver,CO,,89149,$107.10,Las Vegas,NV
80266,$88.50,Denver,CO,,89052,$105.00,Henderson,NV
80271,$88.50,Denver,CO,,89053,$105.00,Henderson,NV
80273,$88.50,Denver,CO,,89077,$105.00,Henderson,NV
80274,$88.50,Denver,CO,,89087,$105.00,North Las Vegas,NV
80281,$88.50,Denver,CO,,89102,$105.00,Las Vegas,NV
80290,$88.50,Denver,CO,,89103,$105.00,Las Vegas,NV
80291,$88.50,Denver,CO,,89105,$105.00,Las Vegas,NV
80293,$88.50,Denver,CO,,89106,$105.00,Las Vegas,NV
80294,$88.50,Denver,CO,,89107,$105.00,Las Vegas,NV
80299,$88.50,Denver,CO,,89109,$105.00,Las Vegas,NV
80124,$80.50,Lone Tree,CO,,89111,$105.00,Las Vegas,NV
80125,$80.50,Littleton,CO,,89112,$105.00,Las Vegas,NV
80126,$80.50,Littleton,CO,,89113,$105.00,Las Vegas,NV
80129,$80.50,Littleton,CO,,89114,$105.00,Las Vegas,NV
80130,$80.50,Littleton,CO,,89116,$105.00,Las Vegas,NV
80134,$80.50,Parker,CO,,89117,$105.00,Las Vegas,NV
80138,$80.50,Parker,CO,,89118,$105.00,Las Vegas,NV
80163,$80.50,Parker,CO,,89121,$105.00,Las Vegas,NV
80011,$75.00,Aurora,CO,,89125,$105.00,Las Vegas,NV
80019,$75.00,Aurora,CO,,89126,$105.00,Las Vegas,NV
80022,$75.00,Commerce City,CO,,89127,$105.00,Las Vegas,NV
80024,$75.00,Dupont,CO,,89132,$105.00,Las Vegas,NV
80030,$75.00,Westminster,CO,,89133,$105.00,Las Vegas,NV
80031,$75.00,Westminster,CO,,89134,$105.00,Las Vegas,NV
80035,$75.00,Wheat Ridge,CO,,89135,$105.00,Las Vegas,NV
80036,$75.00,Wheat Ridge,CO,,89137,$105.00,Las Vegas,NV
80037,$75.00,Wheat Ridge,CO,,89139,$105.00,Las Vegas,NV
80040,$75.00,Wheat Ridge,CO,,89140,$105.00,Las Vegas,NV
80042,$75.00,Wheat Ridge,CO,,89144,$105.00,Las Vegas,NV
80045,$75.00,Aurora,CO,,89145,$105.00,Las Vegas,NV
80136,$75.00,Strasburg,CO,,89147,$105.00,Las Vegas,NV
80137,$75.00,Watkins,CO,,89148,$105.00,Las Vegas,NV
80221,$75.00,Denver,CO,,89150,$105.00,Las Vegas,NV
80229,$75.00,Denver,CO,,89151,$105.00,Las Vegas,NV
80233,$75.00,Denver,CO,,89152,$105.00,Las Vegas,NV
80234,$75.00,Denver,CO,,89153,$105.00,Las Vegas,NV
80241,$75.00,Thornton,CO,,89154,$105.00,Las Vegas,NV
80260,$75.00,Denver,CO,,89155,$105.00,Las Vegas,NV
80601,$75.00,Brighton,CO,,89157,$105.00,Las Vegas,NV
80602,$75.00,Brighton,CO,,89158,$105.00,Las Vegas,NV
80614,$75.00,Carr,CO,,89159,$105.00,Las Vegas,NV
80640,$75.00,Henderson,CO,,89160,$105.00,Las Vegas,NV
91901,$67.50,Alpine,CA,,89162,$105.00,Las Vegas,NV
91902,$67.50,Bonita,CA,,89163,$105.00,The Lakes,NV
91903,$67.50,Bonita,CA,,89164,$105.00,Las Vegas,NV
91905,$67.50,Boulevard,CA,,89169,$105.00,Las Vegas,NV
91906,$67.50,Campo,CA,,89170,$105.00,Las Vegas,NV
91908,$67.50,Campo,CA,,89173,$105.00,Las Vegas,NV
91909,$67.50,Campo,CA,,89177,$105.00,Las Vegas,NV
91910,$67.50,Chula Vista,CA,,89179,$105.00,Las Vegas,NV
91911,$67.50,Chula Vista,CA,,89180,$105.00,Las Vegas,NV
91912,$67.50,Chula Vista,CA,,89183,$105.00,Las Vegas,NV
91913,$67.50,Chula Vista,CA,,89185,$105.00,Las Vegas,NV
91914,$67.50,Chula Vista,CA,,89193,$105.00,Las Vegas,NV
91915,$67.50,Chula Vista,CA,,89195,$105.00,Las Vegas,NV
91916,$67.50,Descanso,CA,,89199,$105.00,Las Vegas,NV
91917,$67.50,Dulzura,CA,,33523,$100.80,Dade City,FL
91921,$67.50,Dulzura,CA,,33524,$100.80,Crystal Springs,FL
91931,$67.50,Guatay,CA,,33527,$100.80,Dover,FL
91932,$67.50,Imperial Beach,CA,,33541,$100.80,Zephyrhills,FL
91933,$67.50,Imperial Beach,CA,,33542,$100.80,Zephyrhills,FL
91934,$67.50,Jacumba,CA,,33543,$100.80,Wesley Chapel,FL
91935,$67.50,Jamul,CA,,33545,$100.80,Wesley Chapel,FL
91941,$67.50,La Mesa,CA,,33564,$100.80,Plant City,FL
91942,$67.50,La Mesa,CA,,33565,$100.80,Plant City,FL
91943,$67.50,La Mesa,CA,,33572,$100.80,Apollo Beach,FL
91944,$67.50,La Mesa,CA,,33575,$100.80,Ruskin,FL
91945,$67.50,Lemon Grove,CA,,33578,$100.80,Riverview,FL
91946,$67.50,Lemon Grove,CA,,33579,$100.80,Riverview,FL
91948,$67.50,Mount Laguna,CA,,33596,$100.80,Valrico,FL
91950,$67.50,National City,CA,,33602,$100.80,Tampa,FL
91951,$67.50,National City,CA,,33603,$100.80,Tampa,FL
91962,$67.50,Pine Valley,CA,,33606,$100.80,Tampa,FL
91963,$67.50,Potrero,CA,,33607,$100.80,Tampa,FL
91976,$67.50,Potrero,CA,,33609,$100.80,Tampa,FL
91977,$67.50,Spring Valley,CA,,33610,$100.80,Tampa,FL
91978,$67.50,Spring Valley,CA,,33612,$100.80,Tampa,FL
91979,$67.50,Spring Valley,CA,,33619,$100.80,Tampa,FL
91980,$67.50,Tecate,CA,,33623,$100.80,Tampa,FL
91987,$67.50,Tecate,CA,,33635,$100.80,Tampa,FL
92003,$67.50,Bonsall,CA,,33689,$100.80,Tampa,FL
92004,$67.50,Borrego Springs,CA,,33701,$100.80,Saint Petersburg,FL
92007,$67.50,Cardiff By The Sea,CA,,33707,$100.80,Saint Petersburg,FL
92008,$67.50,Carlsbad,CA,,33715,$100.80,Saint Petersburg,FL
92009,$67.50,Carlsbad,CA,,33733,$100.80,Saint Petersburg,FL
92010,$67.50,Carlsbad,CA,,33737,$100.80,Saint Petersburg,FL
92011,$67.50,Carlsbad,CA,,33755,$100.80,Clearwater,FL
92013,$67.50,Carlsbad,CA,,33756,$100.80,Clearwater,FL
92014,$67.50,Del Mar,CA,,33771,$100.80,Largo,FL
92018,$67.50,Del Mar,CA,,33778,$100.80,Largo,FL
92019,$67.50,El Cajon,CA,,33809,$100.80,Lakeland,FL
92020,$67.50,El Cajon,CA,,33813,$100.80,Lakeland,FL
92021,$67.50,El Cajon,CA,,34201,$100.80,Bradenton,FL
92022,$67.50,El Cajon,CA,,34203,$100.80,Bradenton,FL
92023,$67.50,El Cajon,CA,,34207,$100.80,Bradenton,FL
92024,$67.50,Encinitas,CA,,34228,$100.80,Longboat Key,FL
92025,$67.50,Escondido,CA,,34654,$100.80,New Port Richey,FL
92026,$67.50,Escondido,CA,,34655,$100.80,New Port Richey,FL
92027,$67.50,Escondido,CA,,34660,$100.80,Ozona,FL
92028,$67.50,Fallbrook,CA,,34667,$100.80,Hudson,FL
92029,$67.50,Escondido,CA,,34668,$100.80,Port Richey,FL
92030,$67.50,Escondido,CA,,34674,$100.80,Hudson,FL
92033,$67.50,Escondido,CA,,34677,$100.80,Oldsmar,FL
92036,$67.50,Julian,CA,,34688,$100.80,Tarpon Springs,FL
92037,$67.50,La Jolla,CA,,80026,$99.23,Lafayette,CO
92038,$67.50,La Jolla,CA,,80033,$99.23,Wheat Ridge,CO
92039,$67.50,La Jolla,CA,,80214,$99.23,Denver,CO
92040,$67.50,Lakeside,CA,,80231,$99.23,Denver,CO
92046,$67.50,Lakeside,CA,,89004,$98.00,Blue Diamond,NV
92049,$67.50,Lakeside,CA,,89012,$98.00,Henderson,NV
92051,$67.50,Lakeside,CA,,89016,$98.00,Henderson,NV
92052,$67.50,Lakeside,CA,,89033,$98.00,North Las Vegas,NV
92054,$67.50,Oceanside,CA,,89044,$98.00,Henderson,NV
92055,$67.50,Camp Pendleton,CA,,89054,$98.00,Sloan,NV
92056,$67.50,Oceanside,CA,,89081,$98.00,North Las Vegas,NV
92057,$67.50,Oceanside,CA,,89084,$98.00,North Las Vegas,NV
92058,$67.50,Oceanside,CA,,89085,$98.00,North Las Vegas,NV
92059,$67.50,Pala,CA,,89122,$98.00,Las Vegas,NV
92060,$67.50,Palomar Mountain,CA,,89124,$98.00,Las Vegas,NV
92061,$67.50,Pauma Valley,CA,,89130,$98.00,Las Vegas,NV
92064,$67.50,Poway,CA,,89136,$98.00,Las Vegas,NV
92065,$67.50,Ramona,CA,,89138,$98.00,Las Vegas,NV
92066,$67.50,Ranchita,CA,,89143,$98.00,Las Vegas,NV
92067,$67.50,Rancho Santa Fe,CA,,89161,$98.00,Las Vegas,NV
92068,$67.50,Rancho Santa Fe,CA,,89165,$98.00,Las Vegas,NV
92069,$67.50,San Marcos,CA,,89191,$98.00,Nellis Afb,NV
92070,$67.50,Santa Ysabel,CA,,92003,$96.25,Bonsall,CA
92071,$67.50,Santee,CA,,92007,$96.25,Cardiff By The Sea,CA
92072,$67.50,Santee,CA,,92008,$96.25,Carlsbad,CA
92074,$67.50,Santee,CA,,92010,$96.25,Carlsbad,CA
92075,$67.50,Solana Beach,CA,,92011,$96.25,Carlsbad,CA
92078,$67.50,San Marcos,CA,,92013,$96.25,Carlsbad,CA
92079,$67.50,San Marcos,CA,,92014,$96.25,Del Mar,CA
92081,$67.50,Vista,CA,,92018,$96.25,Carlsbad,CA
92082,$67.50,Valley Center,CA,,92023,$96.25,Encinitas,CA
92083,$67.50,Vista,CA,,92024,$96.25,Encinitas,CA
92084,$67.50,Vista,CA,,92025,$96.25,Escondido,CA
92085,$67.50,Vista,CA,,92026,$96.25,Escondido,CA
92086,$67.50,Warner Springs,CA,,92027,$96.25,Escondido,CA
92088,$67.50,Warner Springs,CA,,92028,$96.25,Fallbrook,CA
92091,$67.50,Rancho Santa Fe,CA,,92029,$96.25,Escondido,CA
92092,$67.50,La Jolla,CA,,92030,$96.25,Escondido,CA
92093,$67.50,La Jolla,CA,,92033,$96.25,Escondido,CA
92096,$67.50,San Marcos,CA,,92038,$96.25,La Jolla,CA
92101,$67.50,San Diego,CA,,92039,$96.25,La Jolla,CA
92102,$67.50,San Diego,CA,,92046,$96.25,Escondido,CA
92103,$67.50,San Diego,CA,,92049,$96.25,Oceanside,CA
92104,$67.50,San Diego,CA,,92051,$96.25,Oceanside,CA
92105,$67.50,San Diego,CA,,92052,$96.25,Oceanside,CA
92106,$67.50,San Diego,CA,,92054,$96.25,Oceanside,CA
92107,$67.50,San Diego,CA,,92056,$96.25,Oceanside,CA
92108,$67.50,San Diego,CA,,92057,$96.25,Oceanside,CA
92109,$67.50,San Diego,CA,,92058,$96.25,Oceanside,CA
92110,$67.50,San Diego,CA,,92065,$96.25,Ramona,CA
92111,$67.50,San Diego,CA,,92067,$96.25,Rancho Santa Fe,CA
92112,$67.50,San Diego,CA,,92068,$96.25,San Luis Rey,CA
92113,$67.50,San Diego,CA,,92069,$96.25,San Marcos,CA
92114,$67.50,San Diego,CA,,92074,$96.25,Poway,CA
92115,$67.50,San Diego,CA,,92075,$96.25,Solana Beach,CA
92116,$67.50,San Diego,CA,,92078,$96.25,San Marcos,CA
92117,$67.50,San Diego,CA,,92079,$96.25,San Marcos,CA
92118,$67.50,Coronado,CA,,92081,$96.25,Vista,CA
92119,$67.50,San Diego,CA,,92082,$96.25,Valley Center,CA
92120,$67.50,San Diego,CA,,92083,$96.25,Vista,CA
92121,$67.50,San Diego,CA,,92084,$96.25,Vista,CA
92122,$67.50,San Diego,CA,,92085,$96.25,Vista,CA
92123,$67.50,San Diego,CA,,92088,$96.25,Fallbrook,CA
92124,$67.50,San Diego,CA,,92091,$96.25,Rancho Santa Fe,CA
92126,$67.50,San Diego,CA,,92092,$96.25,La Jolla,CA
92127,$67.50,San Diego,CA,,92093,$96.25,La Jolla,CA
92128,$67.50,San Diego,CA,,92096,$96.25,San Marcos,CA
92129,$67.50,San Diego,CA,,92101,$96.25,San Diego,CA
92130,$67.50,San Diego,CA,,92102,$96.25,San Diego,CA
92131,$67.50,San Diego,CA,,92103,$96.25,San Diego,CA
92132,$67.50,San Diego,CA,,92104,$96.25,San Diego,CA
92134,$67.50,San Diego,CA,,92105,$96.25,San Diego,CA
92135,$67.50,San Diego,CA,,92106,$96.25,San Diego,CA
92136,$67.50,San Diego,CA,,92107,$96.25,San Diego,CA
92137,$67.50,San Diego,CA,,92108,$96.25,San Diego,CA
92138,$67.50,San Diego,CA,,92112,$96.25,San Diego,CA
92139,$67.50,San Diego,CA,,92113,$96.25,San Diego,CA
92140,$67.50,San Diego,CA,,92114,$96.25,San Diego,CA
92142,$67.50,San Diego,CA,,92115,$96.25,San Diego,CA
92143,$67.50,San Diego,CA,,92116,$96.25,San Diego,CA
92145,$67.50,San Diego,CA,,92119,$96.25,San Diego,CA
92147,$67.50,San Diego,CA,,92120,$96.25,San Diego,CA
92149,$67.50,San Diego,CA,,92121,$96.25,San Diego,CA
92150,$67.50,San Diego,CA,,92122,$96.25,San Diego,CA
92152,$67.50,San Diego,CA,,92126,$96.25,San Diego,CA
92153,$67.50,San Diego,CA,,92131,$96.25,San Diego,CA
92154,$67.50,San Diego,CA,,92132,$96.25,San Diego,CA
92155,$67.50,San Diego,CA,,92134,$96.25,San Diego,CA
92158,$67.50,San Diego,CA,,92135,$96.25,San Diego,CA
92159,$67.50,San Diego,CA,,92136,$96.25,San Diego,CA
92160,$67.50,San Diego,CA,,92137,$96.25,San Diego,CA
92161,$67.50,San Diego,CA,,92138,$96.25,San Diego,CA
92163,$67.50,San Diego,CA,,92139,$96.25,San Diego,CA
92165,$67.50,San Diego,CA,,92140,$96.25,San Diego,CA
92166,$67.50,San Diego,CA,,92142,$96.25,San Diego,CA
92167,$67.50,San Diego,CA,,92145,$96.25,San Diego,CA
92168,$67.50,San Diego,CA,,92147,$96.25,San Diego,CA
92169,$67.50,San Diego,CA,,92149,$96.25,San Diego,CA
92170,$67.50,San Diego,CA,,92150,$96.25,San Diego,CA
92171,$67.50,San Diego,CA,,92152,$96.25,San Diego,CA
92172,$67.50,San Diego,CA,,92153,$96.25,San Diego,CA
92173,$67.50,San Ysidro,CA,,92154,$96.25,San Diego,CA
92174,$67.50,San Ysidro,CA,,92155,$96.25,San Diego,CA
92175,$67.50,San Ysidro,CA,,92158,$96.25,San Diego,CA
92176,$67.50,San Ysidro,CA,,92159,$96.25,San Diego,CA
92177,$67.50,San Ysidro,CA,,92160,$96.25,San Diego,CA
92178,$67.50,San Ysidro,CA,,92161,$96.25,San Diego,CA
92179,$67.50,San Diego,CA,,92163,$96.25,San Diego,CA
92182,$67.50,San Diego,CA,,92164,$96.25,,CA
92186,$67.50,San Diego,CA,,92165,$96.25,San Diego,CA
92187,$67.50,San Diego,CA,,92166,$96.25,San Diego,CA
92190,$67.50,San Diego,CA,,92167,$96.25,San Diego,CA
92191,$67.50,San Diego,CA,,92168,$96.25,San Diego,CA
92192,$67.50,San Diego,CA,,92170,$96.25,San Diego,CA
92193,$67.50,San Diego,CA,,92171,$96.25,San Diego,CA
92195,$67.50,San Diego,CA,,92172,$96.25,San Diego,CA
92196,$67.50,San Diego,CA,,92174,$96.25,San Diego,CA
92197,$67.50,San Diego,CA,,92175,$96.25,San Diego,CA
92198,$67.50,San Diego,CA,,92176,$96.25,San Diego,CA
92199,$67.50,San Diego,CA,,92177,$96.25,San Diego,CA
21001,$64.00,Aberdeen,MD,,92179,$96.25,San Diego,CA
21005,$64.00,Aberdeen Proving Ground,MD,,92182,$96.25,San Diego,CA
21009,$64.00,Abingdon,MD,,92186,$96.25,San Diego,CA
