Zip Code,,city,state_id
33004,$150.00,Dania,FL
33008,$150.00,Dania,FL
33009,$150.00,Hallandale,FL
33019,$150.00,Hollywood,FL
33020,$150.00,Hollywood,FL
33021,$150.00,Hollywood,FL
33022,$150.00,Hollywood,FL
33023,$150.00,Hollywood,FL
33024,$150.00,Hollywood,FL
33025,$150.00,Hollywood,FL
33026,$150.00,Hollywood,FL
33027,$150.00,Hollywood,FL
33028,$150.00,Pembroke Pines,FL
33029,$150.00,Hollywood,FL
33060,$150.00,Pompano Beach,FL
33061,$150.00,Pompano Beach,FL
33062,$150.00,Pompano Beach,FL
33063,$150.00,Pompano Beach,FL
33064,$150.00,Pompano Beach,FL
33065,$150.00,Coral Springs,FL
33066,$150.00,Pompano Beach,FL
33067,$150.00,Pompano Beach,FL
33068,$150.00,Pompano Beach,FL
33069,$150.00,Pompano Beach,FL
33071,$150.00,Coral Springs,FL
33072,$150.00,Coral Springs,FL
33073,$150.00,Pompano Beach,FL
33074,$150.00,Pompano Beach,FL
33075,$150.00,Pompano Beach,FL
33076,$150.00,Pompano Beach,FL
33077,$150.00,Pompano Beach,FL
33081,$150.00,Pompano Beach,FL
33082,$150.00,Pompano Beach,FL
33083,$150.00,Pompano Beach,FL
33084,$150.00,Pompano Beach,FL
33093,$150.00,Pompano Beach,FL
33097,$150.00,Pompano Beach,FL
33301,$150.00,Fort Lauderdale,FL
33302,$150.00,Fort Lauderdale,FL
33303,$150.00,Fort Lauderdale,FL
33304,$150.00,Fort Lauderdale,FL
33305,$150.00,Fort Lauderdale,FL
33306,$150.00,Fort Lauderdale,FL
33307,$150.00,Fort Lauderdale,FL
33308,$150.00,Fort Lauderdale,FL
33309,$150.00,Fort Lauderdale,FL
33310,$150.00,Fort Lauderdale,FL
33311,$150.00,Fort Lauderdale,FL
33312,$150.00,Fort Lauderdale,FL
33313,$150.00,Fort Lauderdale,FL
33314,$150.00,Fort Lauderdale,FL
33315,$150.00,Fort Lauderdale,FL
33316,$150.00,Fort Lauderdale,FL
33317,$150.00,Fort Lauderdale,FL
33318,$150.00,Fort Lauderdale,FL
33319,$150.00,Fort Lauderdale,FL
33320,$150.00,Fort Lauderdale,FL
33321,$150.00,Fort Lauderdale,FL
33322,$150.00,Fort Lauderdale,FL
33323,$150.00,Fort Lauderdale,FL
33324,$150.00,Fort Lauderdale,FL
33325,$150.00,Fort Lauderdale,FL
33326,$150.00,Fort Lauderdale,FL
33327,$150.00,Fort Lauderdale,FL
33328,$150.00,Fort Lauderdale,FL
33329,$150.00,Fort Lauderdale,FL
33330,$150.00,Fort Lauderdale,FL
33331,$150.00,Fort Lauderdale,FL
33332,$150.00,Fort Lauderdale,FL
33334,$150.00,Fort Lauderdale,FL
33335,$150.00,Fort Lauderdale,FL
33336,$150.00,Fort Lauderdale,FL
33337,$150.00,Fort Lauderdale,FL
33338,$150.00,Fort Lauderdale,FL
33339,$150.00,Fort Lauderdale,FL
33340,$150.00,Fort Lauderdale,FL
33345,$150.00,Fort Lauderdale,FL
33346,$150.00,Fort Lauderdale,FL
33348,$150.00,Fort Lauderdale,FL
33349,$150.00,Fort Lauderdale,FL
33351,$150.00,Fort Lauderdale,FL
33355,$150.00,Fort Lauderdale,FL
33359,$150.00,Fort Lauderdale,FL
33388,$150.00,Plantation,FL
33394,$150.00,Plantation,FL
33441,$150.00,Deerfield Beach,FL
33442,$150.00,Deerfield Beach,FL
33443,$150.00,Deerfield Beach,FL
90001,$144.50,Los Angeles,CA
90002,$144.50,Los Angeles,CA
90003,$144.50,Los Angeles,CA
90004,$144.50,Los Angeles,CA
90005,$144.50,Los Angeles,CA
90006,$144.50,Los Angeles,CA
90007,$144.50,Los Angeles,CA
90008,$144.50,Los Angeles,CA
90009,$144.50,Los Angeles,CA
90010,$144.50,Los Angeles,CA
90011,$144.50,Los Angeles,CA
90012,$144.50,Los Angeles,CA
90013,$144.50,Los Angeles,CA
90014,$144.50,Los Angeles,CA
90015,$144.50,Los Angeles,CA
90016,$144.50,Los Angeles,CA
90017,$144.50,Los Angeles,CA
90018,$144.50,Los Angeles,CA
90019,$144.50,Los Angeles,CA
90020,$144.50,Los Angeles,CA
90021,$144.50,Los Angeles,CA
90022,$144.50,Los Angeles,CA
90023,$144.50,Los Angeles,CA
90024,$144.50,Los Angeles,CA
90025,$144.50,Los Angeles,CA
90026,$144.50,Los Angeles,CA
90027,$144.50,Los Angeles,CA
90028,$144.50,Los Angeles,CA
90029,$144.50,Los Angeles,CA
90030,$144.50,Los Angeles,CA
90031,$144.50,Los Angeles,CA
90032,$144.50,Los Angeles,CA
90033,$144.50,Los Angeles,CA
90034,$144.50,Los Angeles,CA
90035,$144.50,Los Angeles,CA
90036,$144.50,Los Angeles,CA
90037,$144.50,Los Angeles,CA
90038,$144.50,Los Angeles,CA
90039,$144.50,Los Angeles,CA
90040,$144.50,Los Angeles,CA
90041,$144.50,Los Angeles,CA
90042,$144.50,Los Angeles,CA
90043,$144.50,Los Angeles,CA
90044,$144.50,Los Angeles,CA
90045,$144.50,Los Angeles,CA
90046,$144.50,Los Angeles,CA
90047,$144.50,Los Angeles,CA
90048,$144.50,Los Angeles,CA
90049,$144.50,Los Angeles,CA
