Zip Code,CPL Buyer Payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State
55005,$162.00,Bethel,MN,,90001,$166.95,Los Angeles,CA
55011,$162.00,Cedar,MN,,90003,$166.95,Los Angeles,CA
55014,$162.00,Circle Pines,MN,,90004,$166.95,Los Angeles,CA
55070,$162.00,Saint Francis,MN,,90011,$166.95,Los Angeles,CA
55303,$162.00,Anoka,MN,,90013,$166.95,Los Angeles,CA
55304,$162.00,Andover,MN,,90014,$166.95,Los Angeles,CA
55421,$162.00,Minneapolis,MN,,90020,$166.95,Los Angeles,CA
55432,$162.00,Minneapolis,MN,,90022,$166.95,Los Angeles,CA
55433,$162.00,Minneapolis,MN,,90024,$166.95,Los Angeles,CA
55434,$162.00,Minneapolis,MN,,90026,$166.95,Los Angeles,CA
55448,$162.00,Minneapolis,MN,,90027,$166.95,Los Angeles,CA
55449,$162.00,Minneapolis,MN,,90040,$166.95,Los Angeles,CA
20109,$159.50,Manassas,VA,,90048,$166.95,Los Angeles,CA
20110,$159.50,Manassas,VA,,90049,$166.95,Los Angeles,CA
20112,$159.50,Manassas,VA,,90053,$166.95,Los Angeles,CA
20115,$159.50,Marshall,VA,,90201,$166.95,Bell Gardens,CA
20116,$159.50,Marshall,VA,,90202,$166.95,Bell,CA
20119,$159.50,Catlett,VA,,90221,$166.95,Compton,CA
20120,$159.50,Centreville,VA,,90242,$166.95,Downey,CA
20121,$159.50,Centreville,VA,,90245,$166.95,El Segundo,CA
20122,$159.50,Centreville,VA,,90247,$166.95,Gardena,CA
20124,$159.50,Clifton,VA,,90248,$166.95,Gardena,CA
20128,$159.50,Clifton,VA,,90250,$166.95,Hawthorne,CA
20136,$159.50,Bristow,VA,,90266,$166.95,Manhattan Beach,CA
20137,$159.50,Broad Run,VA,,90605,$166.95,Whittier,CA
20138,$159.50,Broad Run,VA,,90640,$166.95,Montebello,CA
20139,$159.50,Broad Run,VA,,90706,$166.95,Bellflower,CA
20140,$159.50,Broad Run,VA,,90707,$166.95,Bellflower,CA
20143,$159.50,Catharpin,VA,,90808,$166.95,Long Beach,CA
20144,$159.50,Delaplane,VA,,90810,$166.95,Long Beach,CA
20151,$159.50,Chantilly,VA,,90813,$166.95,Long Beach,CA
20153,$159.50,Chantilly,VA,,91012,$166.95,La Canada Flintridge,CA
20155,$159.50,Gainesville,VA,,91106,$166.95,Pasadena,CA
20156,$159.50,Gainesville,VA,,91210,$166.95,Glendale,CA
20168,$159.50,Sterling,VA,,91316,$166.95,Encino,CA
20169,$159.50,Haymarket,VA,,91350,$166.95,Santa Clarita,CA
20170,$159.50,Herndon,VA,,91355,$166.95,Valencia,CA
20171,$159.50,Herndon,VA,,91372,$166.95,Calabasas,CA
20172,$159.50,Herndon,VA,,91423,$166.95,Sherman Oaks,CA
20181,$159.50,Nokesville,VA,,91702,$166.95,Azusa,CA
20182,$159.50,Nokesville,VA,,91722,$166.95,Covina,CA
20184,$159.50,Upperville,VA,,91723,$166.95,Covina,CA
20185,$159.50,Upperville,VA,,91754,$166.95,Monterey Park,CA
20186,$159.50,Warrenton,VA,,91755,$166.95,Monterey Park,CA
20187,$159.50,Warrenton,VA,,91761,$166.95,Ontario,CA
20188,$159.50,Warrenton,VA,,91767,$166.95,Pomona,CA
20190,$159.50,Reston,VA,,91778,$166.95,San Gabriel,CA
20191,$159.50,Reston,VA,,91780,$166.95,Temple City,CA
20192,$159.50,Reston,VA,,91784,$166.95,Upland,CA
20194,$159.50,Reston,VA,,91786,$166.95,Upland,CA
20195,$159.50,Reston,VA,,91790,$166.95,West Covina,CA
20196,$159.50,Reston,VA,,92301,$166.95,Adelanto,CA
20198,$159.50,The Plains,VA,,92308,$166.95,Apple Valley,CA
22003,$159.50,Annandale,VA,,92331,$166.95,Fontana,CA
22009,$159.50,Annandale,VA,,92340,$166.95,Hesperia,CA
22015,$159.50,Burke,VA,,92345,$166.95,Hesperia,CA
22025,$159.50,Dumfries,VA,,92346,$166.95,Highland,CA
