Zip Code,CPL Buyer Payouts,city,state_id
85001,$469.50,Saint George,UT
85002,$469.50,Saint George,UT
85003,$469.50,Phoenix,AZ
85004,$469.50,Phoenix,AZ
85005,$469.50,Phoenix,AZ
85006,$469.50,Phoenix,AZ
85007,$469.50,Phoenix,AZ
85008,$469.50,Phoenix,AZ
85009,$469.50,Phoenix,AZ
85010,$469.50,Phoenix,AZ
85011,$469.50,Phoenix,AZ
85012,$469.50,Phoenix,AZ
85013,$469.50,Phoenix,AZ
85014,$469.50,Phoenix,AZ
85015,$469.50,Phoenix,AZ
85016,$469.50,Phoenix,AZ
85017,$469.50,Phoenix,AZ
85018,$469.50,Phoenix,AZ
85019,$469.50,Phoenix,AZ
85020,$469.50,Phoenix,AZ
85021,$469.50,Phoenix,AZ
85022,$469.50,Phoenix,AZ
85023,$469.50,Phoenix,AZ
85024,$469.50,Phoenix,AZ
85025,$469.50,Phoenix,AZ
85026,$469.50,Phoenix,AZ
85027,$469.50,Phoenix,AZ
85028,$469.50,Phoenix,AZ
85029,$469.50,Phoenix,AZ
85030,$469.50,Phoenix,AZ
85031,$469.50,Phoenix,AZ
85032,$469.50,Phoenix,AZ
85033,$469.50,Phoenix,AZ
85034,$469.50,Phoenix,AZ
85035,$469.50,Phoenix,AZ
85036,$469.50,Phoenix,AZ
85037,$469.50,Phoenix,AZ
85038,$469.50,Phoenix,AZ
85039,$469.50,Phoenix,AZ
85040,$469.50,Phoenix,AZ
85041,$469.50,Phoenix,AZ
85042,$469.50,Phoenix,AZ
85043,$469.50,Phoenix,AZ
85044,$469.50,Phoenix,AZ
85045,$469.50,Phoenix,AZ
85046,$469.50,Phoenix,AZ
85048,$469.50,Phoenix,AZ
85050,$469.50,Phoenix,AZ
85051,$469.50,Phoenix,AZ
85053,$469.50,Phoenix,AZ
85054,$469.50,Phoenix,AZ
85060,$469.50,Phoenix,AZ
85061,$469.50,Phoenix,AZ
85062,$469.50,Phoenix,AZ
85063,$469.50,Phoenix,AZ
85064,$469.50,Phoenix,AZ
85065,$469.50,Phoenix,AZ
85066,$469.50,Phoenix,AZ
85067,$469.50,Phoenix,AZ
85068,$469.50,Phoenix,AZ
85069,$469.50,Phoenix,AZ
85070,$469.50,Phoenix,AZ
85071,$469.50,Phoenix,AZ
85072,$469.50,Phoenix,AZ
85073,$469.50,Phoenix,AZ
85074,$469.50,Phoenix,AZ
85075,$469.50,Phoenix,AZ
85076,$469.50,Phoenix,AZ
85078,$469.50,Phoenix,AZ
85079,$469.50,Phoenix,AZ
85080,$469.50,Phoenix,AZ
85082,$469.50,Phoenix,AZ
85083,$469.50,Phoenix,AZ
85085,$469.50,Phoenix,AZ
85086,$469.50,Phoenix,AZ
85087,$469.50,New River,AZ
85097,$469.50,New River,AZ
85098,$469.50,New River,AZ
