city_name,state_full,state_code,city_population,country
toronto,ontario,on,"2,794,356",canada
montreal,quebec,qc,"1,762,949",canada
calgary,alberta,ab,"1,306,784",canada
ottawa,ontario,on,"1,017,449",canada
edmonton,alberta,ab,"1,010,899",canada
winnipeg,manitoba,mb,"749,607",canada
mississauga,ontario,on,"717,961",canada
vancouver,british columbia,bc,"662,248",canada
brampton,ontario,on,"656,480",canada
hamilton,ontario,on,"569,353",canada
surrey,british columbia,bc,"568,322",canada
quebec city,quebec,qc,"549,459",canada
halifax,nova scotia,ns,"439,819",canada
laval,quebec,qc,"438,366",canada
london,ontario,on,"422,324",canada
markham,ontario,on,"338,503",canada
vaughan,ontario,on,"323,103",canada
gatineau,quebec,qc,"291,041",canada
saskatoon,saskatchewan,sk,"266,141",canada
kitchener,ontario,on,"256,885",canada
longueuil,quebec,qc,"254,483",canada
burnaby,british columbia,bc,"249,125",canada
windsor,ontario,on,"229,660",canada
regina,saskatchewan,sk,"226,404",canada
oakville,ontario,on,"213,759",canada
richmond,british columbia,bc,"209,937",canada
richmond hill,ontario,on,"202,022",canada
burlington,ontario,on,"186,948",canada
oshawa,ontario,on,"175,383",canada
sherbrooke,quebec,qc,"172,950",canada
greater sudbury,ontario,on,"166,004",canada
abbotsford,british columbia,bc,"153,524",canada
lévis,quebec,qc,"149,683",canada
coquitlam,british columbia,bc,"148,625",canada
barrie,ontario,on,"147,829",canada
saguenay,quebec,qc,"144,723",canada
kelowna,british columbia,bc,"144,576",canada
guelph,ontario,on,"143,740",canada
trois-rivières,quebec,qc,"139,163",canada
whitby,ontario,on,"138,501",canada
cambridge,ontario,on,"138,479",canada
st. catharines,ontario,on,"136,803",canada
milton,ontario,on,"132,979",canada
langley,british columbia,bc,"132,603",canada
kingston,ontario,on,"132,485",canada
ajax,ontario,on,"126,666",canada
waterloo,ontario,on,"121,436",canada
terrebonne,quebec,qc,"119,944",canada
saanich,british columbia,bc,"117,735",canada
st. john's,newfoundland and labrador,nl,"110,525",canada
thunder bay,ontario,on,"108,843",canada
delta,british columbia,bc,"108,455",canada
brantford,ontario,on,"104,688",canada
chatham-kent,ontario,on,"103,988",canada
clarington,ontario,on,"101,427",canada
red deer,alberta,ab,"100,844",canada
nanaimo,british columbia,bc,"99,863",canada
strathcona county,alberta,ab,"99,225",canada
pickering,ontario,on,"99,186",canada
lethbridge,alberta,ab,"98,406",canada
kamloops,british columbia,bc,"97,902",canada
saint-jean-sur-richelieu,quebec,qc,"97,873",canada
niagara falls,ontario,on,"94,415",canada
cape breton,nova scotia,ns,"93,694",canada
chilliwack,british columbia,bc,"93,203",canada
victoria,british columbia,bc,"91,867",canada
brossard,quebec,qc,"91,525",canada
maple ridge,british columbia,bc,"90,990",canada
north vancouver,british columbia,bc,"88,168",canada
newmarket,ontario,on,"87,942",canada
repentigny,quebec,qc,"86,100",canada
peterborough,ontario,on,"83,651",canada
saint-jérôme,quebec,qc,"80,213",canada
moncton,new brunswick,nb,"79,470",canada
drummondville,quebec,qc,"79,258",canada
kawartha lakes,ontario,on,"79,247",canada
new westminster,british columbia,bc,"78,916",canada
prince george,british columbia,bc,"76,708",canada
caledon,ontario,on,"76,581",canada
airdrie,alberta,ab,"74,100",canada
wood buffalo,alberta,ab,"72,326",canada
sault ste. marie,ontario,on,"72,051",canada
sarnia,ontario,on,"72,047",canada
saint john,new brunswick,nb,"69,895",canada
granby,quebec,qc,"69,025",canada
st. albert,alberta,ab,"68,232",canada
norfolk county,ontario,on,"67,490",canada
grande prairie,alberta,ab,"64,141",canada
medicine hat,alberta,ab,"63,271",canada
fredericton,new brunswick,nb,"63,116",canada
halton hills,ontario,on,"62,951",canada
aurora,ontario,on,"62,057",canada
port coquitlam,british columbia,bc,"61,498",canada
mirabel,quebec,qc,"61,108",canada
blainville,quebec,qc,"59,819",canada
north vancouver,british columbia,bc,"58,120",canada
saint-hyacinthe,quebec,qc,"57,239",canada
welland,ontario,on,"55,750",canada
belleville,ontario,on,"55,071",canada
north bay,ontario,on,"52,662",canada
